🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
🤘🏼	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana cerah, tanduk, tangan, ton kulit sederhana cerah
🤘🏽	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana, tanduk, tangan, ton kulit sederhana
🤘🏾	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit sederhana gelap, tanduk, tangan, ton kulit sederhana gelap
🤘🏿	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit gelap, tanduk, tangan, ton kulit gelap
🤙🏻	tangan, telefon, telefon saya, telefon saya: ton kulit cerah, ton kulit cerah
🤙🏼	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana cerah, ton kulit sederhana cerah
🤙🏽	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana, ton kulit sederhana
🤙🏾	tangan, telefon, telefon saya, telefon saya: ton kulit sederhana gelap, ton kulit sederhana gelap
🤙🏿	tangan, telefon, telefon saya, telefon saya: ton kulit gelap, ton kulit gelap
🖐🏻	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit cerah, ton kulit cerah
🖐🏼	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana cerah, ton kulit sederhana cerah
🖐🏽	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana, ton kulit sederhana
🖐🏾	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit sederhana gelap, ton kulit sederhana gelap
🖐🏿	badan, jari, renggang, tangan, tangan dengan jari terkepak, tangan dengan jari terkepak: ton kulit gelap, ton kulit gelap
✋🏻	angkat tangan, angkat tangan: ton kulit cerah, badan, tangan, ton kulit cerah
✋🏼	angkat tangan, angkat tangan: ton kulit sederhana cerah, badan, tangan, ton kulit sederhana cerah
✋🏽	angkat tangan, angkat tangan: ton kulit sederhana, badan, tangan, ton kulit sederhana
✋🏾	angkat tangan, angkat tangan: ton kulit sederhana gelap, badan, tangan, ton kulit sederhana gelap
✋🏿	angkat tangan, angkat tangan: ton kulit gelap, badan, tangan, ton kulit gelap
👌🏻	badan, okey, simbol OK, simbol OK: ton kulit cerah, tangan, ton kulit cerah
👌🏼	badan, okey, simbol OK, simbol OK: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👌🏽	badan, okey, simbol OK, simbol OK: ton kulit sederhana, tangan, ton kulit sederhana
👌🏾	badan, okey, simbol OK, simbol OK: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👌🏿	badan, okey, simbol OK, simbol OK: ton kulit gelap, tangan, ton kulit gelap
👍🏻	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit cerah, tangan, ton kulit cerah
👍🏼	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👍🏽	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana, tangan, ton kulit sederhana
👍🏾	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👍🏿	+1, atas, badan, ibu jari, simbol bagus, simbol bagus: ton kulit gelap, tangan, ton kulit gelap
👎🏻	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit cerah, tangan, ton kulit cerah
👎🏼	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
👎🏽	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana, tangan, ton kulit sederhana
👎🏾	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
👎🏿	-1, badan, bawah, ibu jari, simbol tidak bagus, simbol tidak bagus: ton kulit gelap, tangan, ton kulit gelap
✊🏻	angkat penumbuk, angkat penumbuk: ton kulit cerah, badan, penumbuk, tangan, tergenggam, ton kulit cerah, tumbuk
✊🏼	angkat penumbuk, angkat penumbuk: ton kulit sederhana cerah, badan, penumbuk, tangan, tergenggam, ton kulit sederhana cerah, tumbuk
✊🏽	angkat penumbuk, angkat penumbuk: ton kulit sederhana, badan, penumbuk, tangan, tergenggam, ton kulit sederhana, tumbuk
✊🏾	angkat penumbuk, angkat penumbuk: ton kulit sederhana gelap, badan, penumbuk, tangan, tergenggam, ton kulit sederhana gelap, tumbuk
✊🏿	angkat penumbuk, angkat penumbuk: ton kulit gelap, badan, penumbuk, tangan, tergenggam, ton kulit gelap, tumbuk
👊🏻	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit cerah, tangan, tergenggam, ton kulit cerah, tumbuk
👊🏼	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana cerah, tangan, tergenggam, ton kulit sederhana cerah, tumbuk
👊🏽	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana, tangan, tergenggam, ton kulit sederhana, tumbuk
👊🏾	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit sederhana gelap, tangan, tergenggam, ton kulit sederhana gelap, tumbuk
👊🏿	badan, penumbuk, penumbuk dari depan, penumbuk dari depan: ton kulit gelap, tangan, tergenggam, ton kulit gelap, tumbuk
🤛🏻	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit cerah, ton kulit cerah
🤛🏼	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🤛🏽	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana, ton kulit sederhana
🤛🏾	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🤛🏿	ke kiri, penumbuk, penumbuk ke kiri, penumbuk ke kiri: ton kulit gelap, ton kulit gelap
🤜🏻	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit cerah, ton kulit cerah
🤜🏼	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana cerah, ton kulit sederhana cerah
🤜🏽	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana, ton kulit sederhana
🤜🏾	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit sederhana gelap, ton kulit sederhana gelap
🤜🏿	ke kanan, penumbuk, penumbuk ke kanan, penumbuk ke kanan: ton kulit gelap, ton kulit gelap
🤚🏻	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit cerah, tapak tangan, ton kulit cerah
🤚🏼	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana cerah, tapak tangan, ton kulit sederhana cerah
🤚🏽	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana, tapak tangan, ton kulit sederhana
🤚🏾	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit sederhana gelap, tapak tangan, ton kulit sederhana gelap
🤚🏿	angkat, angkat belakang tapak tangan, angkat belakang tapak tangan: ton kulit gelap, tapak tangan, ton kulit gelap
👋🏻	badan, lambai, lambai tangan: ton kulit cerah, melambai, tangan, ton kulit cerah
👋🏼	badan, lambai, lambai tangan: ton kulit sederhana cerah, melambai, tangan, ton kulit sederhana cerah
👋🏽	badan, lambai, lambai tangan: ton kulit sederhana, melambai, tangan, ton kulit sederhana
👋🏾	badan, lambai, lambai tangan: ton kulit sederhana gelap, melambai, tangan, ton kulit sederhana gelap
👋🏿	badan, lambai, lambai tangan: ton kulit gelap, melambai, tangan, ton kulit gelap
🤟🏻	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit cerah, tangan, ton kulit cerah
🤟🏼	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🤟🏽	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana, tangan, ton kulit sederhana
🤟🏾	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🤟🏿	ACK, gerak isyarat cinta kamu, gerak isyarat cinta kamu: ton kulit gelap, tangan, ton kulit gelap
✍🏻	badan, tangan, tangan menulis, tangan menulis: ton kulit cerah, ton kulit cerah, tulis
✍🏼	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana cerah, ton kulit sederhana cerah, tulis
✍🏽	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana, ton kulit sederhana, tulis
✍🏾	badan, tangan, tangan menulis, tangan menulis: ton kulit sederhana gelap, ton kulit sederhana gelap, tulis
✍🏿	badan, tangan, tangan menulis, tangan menulis: ton kulit gelap, ton kulit gelap, tulis
👏🏻	badan, bertepuk tangan, bertepuk tangan: ton kulit cerah, tangan, tepuk, ton kulit cerah
👏🏼	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana cerah, tangan, tepuk, ton kulit sederhana cerah
👏🏽	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana, tangan, tepuk, ton kulit sederhana
👏🏾	badan, bertepuk tangan, bertepuk tangan: ton kulit sederhana gelap, tangan, tepuk, ton kulit sederhana gelap
👏🏿	badan, bertepuk tangan, bertepuk tangan: ton kulit gelap, tangan, tepuk, ton kulit gelap
👐🏻	badan, tangan, tangan terbuka: ton kulit cerah, terbuka, ton kulit cerah
👐🏼	badan, tangan, tangan terbuka: ton kulit sederhana cerah, terbuka, ton kulit sederhana cerah
👐🏽	badan, tangan, tangan terbuka: ton kulit sederhana, terbuka, ton kulit sederhana
👐🏾	badan, tangan, tangan terbuka: ton kulit sederhana gelap, terbuka, ton kulit sederhana gelap
👐🏿	badan, tangan, tangan terbuka: ton kulit gelap, terbuka, ton kulit gelap
🙌🏻	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit cerah, perayaan, tangan, ton kulit cerah
🙌🏼	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana cerah, perayaan, tangan, ton kulit sederhana cerah
🙌🏽	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana, perayaan, tangan, ton kulit sederhana
🙌🏾	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit sederhana gelap, perayaan, tangan, ton kulit sederhana gelap
🙌🏿	angkat, badan, hore, isyarat, orang mengangkat tangan, orang mengangkat tangan: ton kulit gelap, perayaan, tangan, ton kulit gelap
🤲🏻	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit cerah, ton kulit cerah
🤲🏼	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana cerah, ton kulit sederhana cerah
🤲🏽	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana, ton kulit sederhana
🤲🏾	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit sederhana gelap, ton kulit sederhana gelap
🤲🏿	berdoa, tapak tangan rapat, tapak tangan rapat: ton kulit gelap, ton kulit gelap
🙏🏻	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit cerah, susun, tangan, tanya, terima kasih, tolong, ton kulit cerah, tunduk
🙏🏼	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana cerah, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana cerah, tunduk
🙏🏽	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana, tunduk
🙏🏾	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit sederhana gelap, susun, tangan, tanya, terima kasih, tolong, ton kulit sederhana gelap, tunduk
🙏🏿	badan, doa, isyarat, menyusun jari, menyusun jari: ton kulit gelap, susun, tangan, tanya, terima kasih, tolong, ton kulit gelap, tunduk
💅🏻	kosmetik, kuku, pengilat, pengilat kuku: ton kulit cerah, penjagaan, rias tangan, ton kulit cerah
💅🏼	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana cerah, penjagaan, rias tangan, ton kulit sederhana cerah
💅🏽	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana, penjagaan, rias tangan, ton kulit sederhana
💅🏾	kosmetik, kuku, pengilat, pengilat kuku: ton kulit sederhana gelap, penjagaan, rias tangan, ton kulit sederhana gelap
💅🏿	kosmetik, kuku, pengilat, pengilat kuku: ton kulit gelap, penjagaan, rias tangan, ton kulit gelap
👂🏻	badan, telinga, telinga: ton kulit cerah, ton kulit cerah
👂🏼	badan, telinga, telinga: ton kulit sederhana cerah, ton kulit sederhana cerah
👂🏽	badan, telinga, telinga: ton kulit sederhana, ton kulit sederhana
👂🏾	badan, telinga, telinga: ton kulit sederhana gelap, ton kulit sederhana gelap
👂🏿	badan, telinga, telinga: ton kulit gelap, ton kulit gelap
👃🏻	badan, hidung, hidung: ton kulit cerah, ton kulit cerah
👃🏼	badan, hidung, hidung: ton kulit sederhana cerah, ton kulit sederhana cerah
👃🏽	badan, hidung, hidung: ton kulit sederhana, ton kulit sederhana
👃🏾	badan, hidung, hidung: ton kulit sederhana gelap, ton kulit sederhana gelap
👃🏿	badan, hidung, hidung: ton kulit gelap, ton kulit gelap
#⃣	keycap, keycap: #
*⃣	keycap, keycap: *
🔟	keycap, keycap: 10
🇦🇨	bendera, bendera: Pulau Ascension
🇦🇩	bendera, bendera: Andorra
🇦🇪	bendera, bendera: Emiriah Arab Bersatu
🇦🇫	bendera, bendera: Afghanistan
🇦🇬	bendera, bendera: Antigua dan Barbuda
🇦🇮	bendera, bendera: Anguilla
🇦🇱	bendera, bendera: Albania
🇦🇲	bendera, bendera: Armenia
🇦🇴	bendera, bendera: Angola
🇦🇶	bendera, bendera: Antartika
🇦🇷	bendera, bendera: Argentina
🇦🇸	bendera, bendera: Samoa Amerika
🇦🇹	bendera, bendera: Austria
🇦🇺	bendera, bendera: Australia
🇦🇼	bendera, bendera: Aruba
🇦🇽	bendera, bendera: Kepulauan Aland
🇦🇿	bendera, bendera: Azerbaijan
🇧🇦	bendera, bendera: Bosnia dan Herzegovina
🇧🇧	bendera, bendera: Barbados
🇧🇩	bendera, bendera: Bangladesh
🇧🇪	bendera, bendera: Belgium
🇧🇫	bendera, bendera: Burkina Faso
🇧🇬	bendera, bendera: Bulgaria
🇧🇭	bendera, bendera: Bahrain
🇧🇮	bendera, bendera: Burundi
🇧🇯	bendera, bendera: Benin
🇧🇱	bendera, bendera: Saint Barthélemy
🇧🇲	bendera, bendera: Bermuda
🇧🇳	bendera, bendera: Brunei
🇧🇴	bendera, bendera: Bolivia
🇧🇶	bendera, bendera: Belanda Caribbean
🇧🇷	bendera, bendera: Brazil
🇧🇸	bendera, bendera: Bahamas
🇧🇹	bendera, bendera: Bhutan
🇧🇻	bendera, bendera: Pulau Bouvet
🇧🇼	bendera, bendera: Botswana
🇧🇾	bendera, bendera: Belarus
🇧🇿	bendera, bendera: Belize
🇨🇦	bendera, bendera: Kanada
🇨🇨	bendera, bendera: Kepulauan Cocos (Keeling)
🇨🇩	bendera, bendera: Congo - Kinshasa
🇨🇫	bendera, bendera: Republik Afrika Tengah
🇨🇬	bendera, bendera: Congo - Brazzaville
🇨🇭	bendera, bendera: Switzerland
🇨🇮	bendera, bendera: Cote d’Ivoire
🇨🇰	bendera, bendera: Kepulauan Cook
🇨🇱	bendera, bendera: Chile
🇨🇲	bendera, bendera: Cameroon
🇨🇳	bendera, bendera: China
🇨🇴	bendera, bendera: Colombia
🇨🇵	bendera, bendera: Pulau Clipperton
🇨🇷	bendera, bendera: Costa Rica
🇨🇺	bendera, bendera: Cuba
🇨🇻	bendera, bendera: Cape Verde
🇨🇼	bendera, bendera: Curacao
🇨🇽	bendera, bendera: Pulau Krismas
🇨🇾	bendera, bendera: Cyprus
🇨🇿	bendera, bendera: Czechia
🇩🇪	bendera, bendera: Jerman
🇩🇬	bendera, bendera: Diego Garcia
🇩🇯	bendera, bendera: Djibouti
🇩🇰	bendera, bendera: Denmark
🇩🇲	bendera, bendera: Dominica
🇩🇴	bendera, bendera: Republik Dominica
🇩🇿	bendera, bendera: Algeria
🇪🇦	bendera, bendera: Ceuta dan Melilla
🇪🇨	bendera, bendera: Ecuador
🇪🇪	bendera, bendera: Estonia
🇪🇬	bendera, bendera: Mesir
🇪🇭	bendera, bendera: Sahara Barat
🇪🇷	bendera, bendera: Eritrea
🇪🇸	bendera, bendera: Sepanyol
🇪🇹	bendera, bendera: Ethiopia
🇪🇺	bendera, bendera: Kesatuan Eropah
🇫🇮	bendera, bendera: Finland
🇫🇯	bendera, bendera: Fiji
🇫🇰	bendera, bendera: Kepulauan Falkland
🇫🇲	bendera, bendera: Micronesia
🇫🇴	bendera, bendera: Kepulauan Faroe
🇫🇷	bendera, bendera: Perancis
🇬🇦	bendera, bendera: Gabon
🇬🇧	bendera, bendera: United Kingdom
🇬🇩	bendera, bendera: Grenada
🇬🇪	bendera, bendera: Georgia
🇬🇫	bendera, bendera: Guiana Perancis
🇬🇬	bendera, bendera: Guernsey
🇬🇭	bendera, bendera: Ghana
🇬🇮	bendera, bendera: Gibraltar
🇬🇱	bendera, bendera: Greenland
🇬🇲	bendera, bendera: Gambia
🇬🇳	bendera, bendera: Guinea
🇬🇵	bendera, bendera: Guadeloupe
🇬🇶	bendera, bendera: Guinea Khatulistiwa
🇬🇷	bendera, bendera: Greece
🇬🇸	bendera, bendera: Kepulauan Georgia Selatan & Sandwich Selatan
🇬🇹	bendera, bendera: Guatemala
🇬🇺	bendera, bendera: Guam
🇬🇼	bendera, bendera: Guinea Bissau
🇬🇾	bendera, bendera: Guyana
🇭🇰	bendera, bendera: Hong Kong SAR China
🇭🇲	bendera, bendera: Kepulauan Heard & McDonald
🇭🇳	bendera, bendera: Honduras
🇭🇷	bendera, bendera: Croatia
🇭🇹	bendera, bendera: Haiti
🇭🇺	bendera, bendera: Hungary
🇮🇨	bendera, bendera: Kepulauan Canary
🇮🇩	bendera, bendera: Indonesia
🇮🇪	bendera, bendera: Ireland
🇮🇱	bendera, bendera: Israel
🇮🇲	bendera, bendera: Isle of Man
🇮🇳	bendera, bendera: India
🇮🇴	bendera, bendera: Wilayah Lautan Hindi British
🇮🇶	bendera, bendera: Iraq
🇮🇷	bendera, bendera: Iran
🇮🇸	bendera, bendera: Iceland
🇮🇹	bendera, bendera: Itali
🇯🇪	bendera, bendera: Jersey
🇯🇲	bendera, bendera: Jamaica
🇯🇴	bendera, bendera: Jordan
🇯🇵	bendera, bendera: Jepun
🇰🇪	bendera, bendera: Kenya
🇰🇬	bendera, bendera: Kyrgyzstan
🇰🇭	bendera, bendera: Kemboja
🇰🇮	bendera, bendera: Kiribati
🇰🇲	bendera, bendera: Comoros
🇰🇳	bendera, bendera: Saint Kitts dan Nevis
🇰🇵	bendera, bendera: Korea Utara
🇰🇷	bendera, bendera: Korea Selatan
🇰🇼	bendera, bendera: Kuwait
🇰🇾	bendera, bendera: Kepulauan Cayman
🇰🇿	bendera, bendera: Kazakhstan
🇱🇦	bendera, bendera: Laos
🇱🇧	bendera, bendera: Lubnan
