‾	горна црта
🚨	автомобил, полиција, ротирачко, светло, светло на полициски автомобил
🚥	светло, сигнализација, сообраќај, хоризонтален семафор
🚦	вертикален семафор, светло, сигнализација, сообраќај
🛑	знак, осумаголник, стоп
🚧	градежни работи на патот, препрека, пречка
⚓️	алатка, брод, сидро
🛟	безбедност, гума за спасување, плови, појас, спасување
⛵️	брод, едреник, море, транспорт, јахта
🛶	кану, кајак
🚤	брод, глисер, транспорт
🛳️	брод, патници, патнички брод, транспорт
⛴️	брод, траект, транспорт
🛥️	брод, мотор, моторен чамец, транспорт
🚢	брод, транспорт
✈️	авион, воздух, транспорт
🛩️	воздух, мал авион, транспорт
🛫	воздух, полетување, пријавување, транспорт
🛬	воздух, пристигнување, слетување, транспорт
🪂	падобран, параглајдер, параглајдерство
💺	столица
🚁	воздух, транспорт, хеликоптер
🚟	висечка железница, виси, возило, железница
🚠	возило, кабел, планина, планинска жичарница
🚡	вагон, воздушен, воздушен трамвај, возило, кабел, трамвај
🛰️	вселена, објект, сателит
🚀	возило, вселена, ракета
🛸	НЛО, летечка чинија
🛎️	портир, рецепција, хотел, ѕвонче, ѕвонче на рецепција
