🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
🏊🏽	плаванне, сярэдні тон скуры, чалавек плыве, чалавек плыве: сярэдні тон скуры
🏊🏾	плаванне, сярэдне-цёмны тон скуры, чалавек плыве, чалавек плыве: сярэдне-цёмны тон скуры
🏊🏿	плаванне, цёмны тон скуры, чалавек плыве, чалавек плыве: цёмны тон скуры
🏊🏻‍♂	мужчына, плаванне, плывец, плывец: светлы тон скуры, светлы тон скуры
🏊🏼‍♂	мужчына, плаванне, плывец, плывец: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🏊🏽‍♂	мужчына, плаванне, плывец, плывец: сярэдні тон скуры, сярэдні тон скуры
🏊🏾‍♂	мужчына, плаванне, плывец, плывец: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🏊🏿‍♂	мужчына, плаванне, плывец, плывец: цёмны тон скуры, цёмны тон скуры
🏊🏻‍♀	жанчына, плаванне, плыўчыха, плыўчыха: светлы тон скуры, светлы тон скуры
🏊🏼‍♀	жанчына, плаванне, плыўчыха, плыўчыха: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры
🏊🏽‍♀	жанчына, плаванне, плыўчыха, плыўчыха: сярэдні тон скуры, сярэдні тон скуры
🏊🏾‍♀	жанчына, плаванне, плыўчыха, плыўчыха: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры
🏊🏿‍♀	жанчына, плаванне, плыўчыха, плыўчыха: цёмны тон скуры, цёмны тон скуры
⛹🏻	гульня, мяч, светлы тон скуры, чалавек з мячом, чалавек з мячом: светлы тон скуры
⛹🏼	гульня, мяч, сярэдне-светлы тон скуры, чалавек з мячом, чалавек з мячом: сярэдне-светлы тон скуры
⛹🏽	гульня, мяч, сярэдні тон скуры, чалавек з мячом, чалавек з мячом: сярэдні тон скуры
⛹🏾	гульня, мяч, сярэдне-цёмны тон скуры, чалавек з мячом, чалавек з мячом: сярэдне-цёмны тон скуры
⛹🏿	гульня, мяч, цёмны тон скуры, чалавек з мячом, чалавек з мячом: цёмны тон скуры
⛹🏻‍♂	гульня, мужчына, мужчына з мячом, мужчына з мячом: светлы тон скуры, мяч, светлы тон скуры
⛹🏼‍♂	гульня, мужчына, мужчына з мячом, мужчына з мячом: сярэдне-светлы тон скуры, мяч, сярэдне-светлы тон скуры
⛹🏽‍♂	гульня, мужчына, мужчына з мячом, мужчына з мячом: сярэдні тон скуры, мяч, сярэдні тон скуры
⛹🏾‍♂	гульня, мужчына, мужчына з мячом, мужчына з мячом: сярэдне-цёмны тон скуры, мяч, сярэдне-цёмны тон скуры
⛹🏿‍♂	гульня, мужчына, мужчына з мячом, мужчына з мячом: цёмны тон скуры, мяч, цёмны тон скуры
⛹🏻‍♀	гульня, жанчына, жанчына з мячом, жанчына з мячом: светлы тон скуры, мяч, светлы тон скуры
⛹🏼‍♀	гульня, жанчына, жанчына з мячом, жанчына з мячом: сярэдне-светлы тон скуры, мяч, сярэдне-светлы тон скуры
⛹🏽‍♀	гульня, жанчына, жанчына з мячом, жанчына з мячом: сярэдні тон скуры, мяч, сярэдні тон скуры
⛹🏾‍♀	гульня, жанчына, жанчына з мячом, жанчына з мячом: сярэдне-цёмны тон скуры, мяч, сярэдне-цёмны тон скуры
⛹🏿‍♀	гульня, жанчына, жанчына з мячом, жанчына з мячом: цёмны тон скуры, мяч, цёмны тон скуры
