‾	верхняя рыса
👩‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца
👩🏻‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца, пажарніца: светлы тон скуры, светлы тон скуры
👩🏼‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца, пажарніца: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👩🏽‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца, пажарніца: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца, пажарніца: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👩🏿‍🚒	жанчына, жанчына-пажарны, пажарная машына, пажарніца, пажарніца: цёмны тон скуры, цёмны тон скуры
👮	афіцэр, паліцыя, паліцыянт
👮🏻	афіцэр, паліцыя, паліцыянт, паліцыянт: светлы тон скуры, светлы тон скуры
👮🏼	афіцэр, паліцыя, паліцыянт, паліцыянт: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👮🏽	афіцэр, паліцыя, паліцыянт, паліцыянт: сярэдні тон скуры, сярэдні тон скуры
👮🏾	афіцэр, паліцыя, паліцыянт, паліцыянт: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👮🏿	афіцэр, паліцыя, паліцыянт, паліцыянт: цёмны тон скуры, цёмны тон скуры
👮‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі
👮🏻‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі, паліцэйскі: светлы тон скуры, светлы тон скуры
👮🏼‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі, паліцэйскі: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👮🏽‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі, паліцэйскі: сярэдні тон скуры, сярэдні тон скуры
👮🏾‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі, паліцэйскі: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👮🏿‍♂	афіцэр, мужчына, паліцыя, паліцыянт, паліцэйскі, паліцэйскі: цёмны тон скуры, цёмны тон скуры
👮‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская
👮🏻‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская, паліцэйская: светлы тон скуры, светлы тон скуры
👮🏼‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская, паліцэйская: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👮🏽‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская, паліцэйская: сярэдні тон скуры, сярэдні тон скуры
👮🏾‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская, паліцэйская: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👮🏿‍♀	афіцэр, жанчына, жанчына-паліцыянт, паліцыя, паліцыянт, паліцэйская, паліцэйская: цёмны тон скуры, цёмны тон скуры
🕵️	дэтэктыў, сышчык, шпіён
🕵🏻	дэтэктыў, дэтэктыў: светлы тон скуры, светлы тон скуры, сышчык, шпіён
🕵🏼	дэтэктыў, дэтэктыў: сярэднясветлы тон скуры, сышчык, сярэднясветлы тон скуры, шпіён
