🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
👋🏾	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, që tundet, trup, tund
👋🏿	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e errët, nuancë lëkure e errët, që tundet, trup, tund
🤟🏻	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e çelët, nuancë lëkure e çelët
🤟🏼	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
🤟🏽	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure zeshkane, nuancë lëkure zeshkane
🤟🏾	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
🤟🏿	"Të dua", dorë, gjesti "të dua", gjesti "të dua": nuancë lëkure e errët, nuancë lëkure e errët
✍🏻	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure e çelët, nuancë lëkure e çelët, shkruaj, trup
✍🏼	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, shkruaj, trup
✍🏽	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure zeshkane, nuancë lëkure zeshkane, shkruaj, trup
✍🏾	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, shkruaj, trup
✍🏿	dorë, dorë që shkruan, dorë që shkruan: nuancë lëkure e errët, nuancë lëkure e errët, shkruaj, trup
👏🏻	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure e çelët, duartrokas, nuancë lëkure e çelët, trup
👏🏼	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure gjysmë e çelët, duartrokas, nuancë lëkure gjysmë e çelët, trup
👏🏽	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure zeshkane, duartrokas, nuancë lëkure zeshkane, trup
👏🏾	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure gjysmë e errët, duartrokas, nuancë lëkure gjysmë e errët, trup
👏🏿	dorë, duar që duartrokasin, duar që duartrokasin: nuancë lëkure e errët, duartrokas, nuancë lëkure e errët, trup
👐🏻	dorë, duar të hapura, duar të hapura: nuancë lëkure e çelët, e hapur, hap, nuancë lëkure e çelët, trup
👐🏼	dorë, duar të hapura, duar të hapura: nuancë lëkure gjysmë e çelët, e hapur, hap, nuancë lëkure gjysmë e çelët, trup
👐🏽	dorë, duar të hapura, duar të hapura: nuancë lëkure zeshkane, e hapur, hap, nuancë lëkure zeshkane, trup
👐🏾	dorë, duar të hapura, duar të hapura: nuancë lëkure gjysmë e errët, e hapur, hap, nuancë lëkure gjysmë e errët, trup
👐🏿	dorë, duar të hapura, duar të hapura: nuancë lëkure e errët, e hapur, hap, nuancë lëkure e errët, trup
🙌🏻	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure e çelët, nuancë lëkure e çelët, urra
🙌🏼	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, urra
🙌🏽	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure zeshkane, nuancë lëkure zeshkane, urra
🙌🏾	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, urra
🙌🏿	festim, gjest, njeri që ngre duart, njeri që ngre duart: nuancë lëkure e errët, nuancë lëkure e errët, urra
🤲🏻	besimtar, falje, lutje, nuancë lëkure e çelët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure e çelët
🤲🏼	besimtar, falje, lutje, nuancë lëkure gjysmë e çelët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure gjysmë e çelët
🤲🏽	besimtar, falje, lutje, nuancë lëkure zeshkane, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure zeshkane
🤲🏾	besimtar, falje, lutje, nuancë lëkure gjysmë e errët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure gjysmë e errët
🤲🏿	besimtar, falje, lutje, nuancë lëkure e errët, pëllëmbë të bashkuara, pëllëmbë të bashkuara: nuancë lëkure e errët
🙏🏻	duar të mbledhura, duar të mbledhura: nuancë lëkure e çelët, faleminderit, gjest, lutje, nuancë lëkure e çelët, përkulem
🙏🏼	duar të mbledhura, duar të mbledhura: nuancë lëkure gjysmë e çelët, faleminderit, gjest, lutje, nuancë lëkure gjysmë e çelët, përkulem
🙏🏽	duar të mbledhura, duar të mbledhura: nuancë lëkure zeshkane, faleminderit, gjest, lutje, nuancë lëkure zeshkane, përkulem
🙏🏾	duar të mbledhura, duar të mbledhura: nuancë lëkure gjysmë e errët, faleminderit, gjest, lutje, nuancë lëkure gjysmë e errët, përkulem
🙏🏿	duar të mbledhura, duar të mbledhura: nuancë lëkure e errët, faleminderit, gjest, lutje, nuancë lëkure e errët, përkulem
💅🏻	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure e çelët, nuancë lëkure e çelët, thua
💅🏼	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, thua
💅🏽	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure zeshkane, nuancë lëkure zeshkane, thua
💅🏾	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, thua
💅🏿	kozmetikë, kujdes, lyej, manikyr, manikyr: nuancë lëkure e errët, nuancë lëkure e errët, thua
👂🏻	nuancë lëkure e çelët, trup, vesh, vesh: nuancë lëkure e çelët
👂🏼	nuancë lëkure gjysmë e çelët, trup, vesh, vesh: nuancë lëkure gjysmë e çelët
👂🏽	nuancë lëkure zeshkane, trup, vesh, vesh: nuancë lëkure zeshkane
👂🏾	nuancë lëkure gjysmë e errët, trup, vesh, vesh: nuancë lëkure gjysmë e errët
👂🏿	nuancë lëkure e errët, trup, vesh, vesh: nuancë lëkure e errët
👃🏻	hundë, hundë: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
👃🏼	hundë, hundë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
👃🏽	hundë, hundë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
👃🏾	hundë, hundë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
👃🏿	hundë, hundë: nuancë lëkure e errët, nuancë lëkure e errët, trup
#⃣	tast, tast: #
*⃣	tast, tast: *
🔟	tast, tast: 10
🇦🇨	flamur, flamur: Ishulli Asenshion
🇦🇩	flamur, flamur: Andorrë
🇦🇪	flamur, flamur: Emiratet e Bashkuara Arabe
🇦🇫	flamur, flamur: Afganistan
🇦🇬	flamur, flamur: Antigua e Barbuda
🇦🇮	flamur, flamur: Anguilë
🇦🇱	flamur, flamur: Shqipëri
🇦🇲	flamur, flamur: Armeni
🇦🇴	flamur, flamur: Angolë
🇦🇶	flamur, flamur: Antarktikë
🇦🇷	flamur, flamur: Argjentinë
🇦🇸	flamur, flamur: Samoa Amerikane
🇦🇹	flamur, flamur: Austri
🇦🇺	flamur, flamur: Australi
🇦🇼	flamur, flamur: Arubë
🇦🇽	flamur, flamur: Ishujt Alandë
🇦🇿	flamur, flamur: Azerbajxhan
🇧🇦	flamur, flamur: Bosnjë-Hercegovinë
🇧🇧	flamur, flamur: Barbados
🇧🇩	flamur, flamur: Bangladesh
🇧🇪	flamur, flamur: Belgjikë
🇧🇫	flamur, flamur: Burkina-Faso
🇧🇬	flamur, flamur: Bullgari
🇧🇭	flamur, flamur: Bahrejn
🇧🇮	flamur, flamur: Burundi
🇧🇯	flamur, flamur: Benin
🇧🇱	flamur, flamur: Shën-Bartolome
🇧🇲	flamur, flamur: Bermudë
🇧🇳	flamur, flamur: Brunei
🇧🇴	flamur, flamur: Bolivi
🇧🇶	flamur, flamur: Karaibet holandeze
🇧🇷	flamur, flamur: Brazil
🇧🇸	flamur, flamur: Bahamas
🇧🇹	flamur, flamur: Butan
🇧🇻	flamur, flamur: Ishulli Bove
🇧🇼	flamur, flamur: Botsvanë
🇧🇾	flamur, flamur: Bjellorusi
🇧🇿	flamur, flamur: Belizë
🇨🇦	flamur, flamur: Kanada
🇨🇨	flamur, flamur: Ishujt Kokos
🇨🇩	flamur, flamur: Kongo-Kinshasa
🇨🇫	flamur, flamur: Republika e Afrikës Qendrore
🇨🇬	flamur, flamur: Kongo-Brazavilë
🇨🇭	flamur, flamur: Zvicër
🇨🇮	flamur, flamur: Côte d’Ivoire
🇨🇰	flamur, flamur: Ishujt Kuk
🇨🇱	flamur, flamur: Kili
🇨🇲	flamur, flamur: Kamerun
🇨🇳	flamur, flamur: Kinë
🇨🇴	flamur, flamur: Kolumbi
🇨🇵	flamur, flamur: Ishulli Klipërton
🇨🇷	flamur, flamur: Kosta-Rikë
🇨🇺	flamur, flamur: Kubë
🇨🇻	flamur, flamur: Kepi i Gjelbër
🇨🇼	flamur, flamur: Kuraçao
🇨🇽	flamur, flamur: Ishulli i Krishtlindjes
🇨🇾	flamur, flamur: Qipro
🇨🇿	flamur, flamur: Çeki
🇩🇪	flamur, flamur: Gjermani
🇩🇬	flamur, flamur: Diego-Garsia
🇩🇯	flamur, flamur: Xhibuti
🇩🇰	flamur, flamur: Danimarkë
🇩🇲	flamur, flamur: Dominikë
🇩🇴	flamur, flamur: Republika Dominikane
🇩🇿	flamur, flamur: Algjeri
🇪🇦	flamur, flamur: Theuta e Melila
🇪🇨	flamur, flamur: Ekuador
🇪🇪	flamur, flamur: Estoni
🇪🇬	flamur, flamur: Egjipt
🇪🇭	flamur, flamur: Saharaja Perëndimore
🇪🇷	flamur, flamur: Eritre
🇪🇸	flamur, flamur: Spanjë
🇪🇹	flamur, flamur: Etiopi
🇪🇺	flamur, flamur: Bashkimi Europian
🇫🇮	flamur, flamur: Finlandë
🇫🇯	flamur, flamur: Fixhi
🇫🇰	flamur, flamur: Ishujt Falkland
🇫🇲	flamur, flamur: Mikronezi
🇫🇴	flamur, flamur: Ishujt Faroe
🇫🇷	flamur, flamur: Francë
🇬🇦	flamur, flamur: Gabon
🇬🇧	flamur, flamur: Mbretëria e Bashkuar
🇬🇩	flamur, flamur: Grenadë
🇬🇪	flamur, flamur: Gjeorgji
🇬🇫	flamur, flamur: Guajana Franceze
🇬🇬	flamur, flamur: Gernsej
🇬🇭	flamur, flamur: Ganë
🇬🇮	flamur, flamur: Gjibraltar
🇬🇱	flamur, flamur: Grenlandë
🇬🇲	flamur, flamur: Gambia
🇬🇳	flamur, flamur: Guine
🇬🇵	flamur, flamur: Guadalupe
🇬🇶	flamur, flamur: Guineja Ekuatoriale
🇬🇷	flamur, flamur: Greqi
🇬🇸	flamur, flamur: Xhorxha Jugore dhe Ishujt Senduiçë të Jugut
🇬🇹	flamur, flamur: Guatemalë
🇬🇺	flamur, flamur: Guam
🇬🇼	flamur, flamur: Guine-Bisau
🇬🇾	flamur, flamur: Guajanë
🇭🇰	flamur, flamur: RPA i Hong-Kongut
🇭🇲	flamur, flamur: Ishujt Hërd e Mekdonald
🇭🇳	flamur, flamur: Honduras
🇭🇷	flamur, flamur: Kroaci
🇭🇹	flamur, flamur: Haiti
🇭🇺	flamur, flamur: Hungari
🇮🇨	flamur, flamur: Ishujt Kanarie
🇮🇩	flamur, flamur: Indonezi
🇮🇪	flamur, flamur: Irlandë
🇮🇱	flamur, flamur: Izrael
🇮🇲	flamur, flamur: Ishulli i Manit
🇮🇳	flamur, flamur: Indi
🇮🇴	flamur, flamur: Territori Britanik i Oqeanit Indian
🇮🇶	flamur, flamur: Irak
🇮🇷	flamur, flamur: Iran
🇮🇸	flamur, flamur: Islandë
🇮🇹	flamur, flamur: Itali
🇯🇪	flamur, flamur: Xhersej
🇯🇲	flamur, flamur: Xhamajkë
🇯🇴	flamur, flamur: Jordani
🇯🇵	flamur, flamur: Japoni
🇰🇪	flamur, flamur: Kenia
🇰🇬	flamur, flamur: Kirgistan
🇰🇭	flamur, flamur: Kamboxhia
🇰🇮	flamur, flamur: Kiribati
🇰🇲	flamur, flamur: Komore
🇰🇳	flamur, flamur: Shën-Kits dhe Nevis
🇰🇵	flamur, flamur: Koreja e Veriut
🇰🇷	flamur, flamur: Koreja e Jugut
🇰🇼	flamur, flamur: Kuvajt
🇰🇾	flamur, flamur: Ishujt Kajman
🇰🇿	flamur, flamur: Kazakistan
🇱🇦	flamur, flamur: Laos
🇱🇧	flamur, flamur: Liban
🇱🇨	flamur, flamur: Shën-Luçia
🇱🇮	flamur, flamur: Lihtenshtajn
🇱🇰	flamur, flamur: Sri-Lankë
🇱🇷	flamur, flamur: Liberi
🇱🇸	flamur, flamur: Lesoto
🇱🇹	flamur, flamur: Lituani
🇱🇺	flamur, flamur: Luksemburg
🇱🇻	flamur, flamur: Letoni
🇱🇾	flamur, flamur: Libi
🇲🇦	flamur, flamur: Marok
🇲🇨	flamur, flamur: Monako
🇲🇩	flamur, flamur: Moldavi
🇲🇪	flamur, flamur: Mal i Zi
🇲🇫	flamur, flamur: Shën-Martin
🇲🇬	flamur, flamur: Madagaskar
🇲🇭	flamur, flamur: Ishujt Marshall
🇲🇰	flamur, flamur: Maqedoni
🇲🇱	flamur, flamur: Mali
🇲🇲	flamur, flamur: Mianmar (Burma)
🇲🇳	flamur, flamur: Mongoli
🇲🇴	flamur, flamur: RPA i Makaos
🇲🇵	flamur, flamur: Ishujt e Marianës Veriore
🇲🇶	flamur, flamur: Martinikë
🇲🇷	flamur, flamur: Mauritani
🇲🇸	flamur, flamur: Montserat
🇲🇹	flamur, flamur: Maltë
🇲🇺	flamur, flamur: Mauritius
🇲🇻	flamur, flamur: Maldive
🇲🇼	flamur, flamur: Malavi
🇲🇽	flamur, flamur: Meksikë
🇲🇾	flamur, flamur: Malajzi
🇲🇿	flamur, flamur: Mozambik
🇳🇦	flamur, flamur: Namibi
🇳🇨	flamur, flamur: Kaledonia e Re
🇳🇪	flamur, flamur: Niger
🇳🇫	flamur, flamur: Ishulli Norfolk
🇳🇬	flamur, flamur: Nigeri
🇳🇮	flamur, flamur: Nikaragua
🇳🇱	flamur, flamur: Holandë
🇳🇴	flamur, flamur: Norvegji
🇳🇵	flamur, flamur: Nepal
🇳🇷	flamur, flamur: Nauru
🇳🇺	flamur, flamur: Niue
🇳🇿	flamur, flamur: Zelandë e Re
🇴🇲	flamur, flamur: Oman
🇵🇦	flamur, flamur: Panama
🇵🇪	flamur, flamur: Peru
🇵🇫	flamur, flamur: Polinezia Franceze
🇵🇬	flamur, flamur: Guineja e Re-Papua
🇵🇭	flamur, flamur: Filipine
🇵🇰	flamur, flamur: Pakistan
🇵🇱	flamur, flamur: Poloni
🇵🇲	flamur, flamur: Shën-Pier dhe Mikelon
🇵🇳	flamur, flamur: Ishujt Pitkern
🇵🇷	flamur, flamur: Porto-Riko
🇵🇸	flamur, flamur: Territoret Palestineze
🇵🇹	flamur, flamur: Portugali
🇵🇼	flamur, flamur: Palau
🇵🇾	flamur, flamur: Paraguai
🇶🇦	flamur, flamur: Katar
🇷🇪	flamur, flamur: Reunion
🇷🇴	flamur, flamur: Rumani
🇷🇸	flamur, flamur: Serbi
🇷🇺	flamur, flamur: Rusi
🇷🇼	flamur, flamur: Ruandë
🇸🇦	flamur, flamur: Arabia Saudite
🇸🇧	flamur, flamur: Ishujt Solomon
🇸🇨	flamur, flamur: Sejshelle
🇸🇩	flamur, flamur: Sudan
🇸🇪	flamur, flamur: Suedi
🇸🇬	flamur, flamur: Singapor
🇸🇭	flamur, flamur: Shën-Helenë
🇸🇮	flamur, flamur: Slloveni
🇸🇯	flamur, flamur: Svalbard e Jan-Majen
🇸🇰	flamur, flamur: Sllovaki
🇸🇱	flamur, flamur: Siera-Leone
🇸🇲	flamur, flamur: San-Marino
🇸🇳	flamur, flamur: Senegal
🇸🇴	flamur, flamur: Somali
🇸🇷	flamur, flamur: Surinami
🇸🇸	flamur, flamur: Sudani i Jugut
🇸🇹	flamur, flamur: Sao-Tome e Principe
🇸🇻	flamur, flamur: Salvador
🇸🇽	flamur, flamur: Sint-Marten
🇸🇾	flamur, flamur: Siri
🇸🇿	flamur, flamur: Svazilandë
🇹🇦	flamur, flamur: Tristan-da-Kuna
🇹🇨	flamur, flamur: Ishujt Turks dhe Kaikos
🇹🇩	flamur, flamur: Çad
🇹🇫	flamur, flamur: Territoret Jugore Franceze
🇹🇬	flamur, flamur: Togo
🇹🇭	flamur, flamur: Tajlandë
🇹🇯	flamur, flamur: Taxhikistan
🇹🇰	flamur, flamur: Tokelau
🇹🇱	flamur, flamur: Timor-Leste
🇹🇲	flamur, flamur: Turkmenistan
🇹🇳	flamur, flamur: Tunizi
🇹🇴	flamur, flamur: Tonga
🇹🇷	flamur, flamur: Turqi
🇹🇹	flamur, flamur: Trinidad e Tobago
🇹🇻	flamur, flamur: Tuvalu
🇹🇼	flamur, flamur: Tajvan
🇹🇿	flamur, flamur: Tanzani
🇺🇦	flamur, flamur: Ukrainë
🇺🇬	flamur, flamur: Ugandë
🇺🇲	flamur, flamur: Ishujt Periferikë të SHBA-së
🇺🇳	flamur, flamur: Kombet e Bashkuara
🇺🇸	flamur, flamur: Shtetet e Bashkuara të Amerikës
🇺🇾	flamur, flamur: Uruguai
🇺🇿	flamur, flamur: Uzbekistan
🇻🇦	flamur, flamur: Vatikan
🇻🇨	flamur, flamur: Shën-Vincent dhe Grenadine
🇻🇪	flamur, flamur: Venezuelë
🇻🇬	flamur, flamur: Ishujt e Virgjër Britanikë
🇻🇮	flamur, flamur: Ishujt e Virgjër të SHBA-së
🇻🇳	flamur, flamur: Vietnam
🇻🇺	flamur, flamur: Vanuatu
🇼🇫	flamur, flamur: Uollis e Futuna
🇼🇸	flamur, flamur: Samoa
🇽🇰	flamur, flamur: Kosovë
🇾🇪	flamur, flamur: Jemen
🇾🇹	flamur, flamur: Majotë
🇿🇦	flamur, flamur: Afrika e Jugut
🇿🇲	flamur, flamur: Zambia
🇿🇼	flamur, flamur: Zimbabve
0⃣	tast, tast: 0
1⃣	tast, tast: 1
2⃣	tast, tast: 2
3⃣	tast, tast: 3
4⃣	tast, tast: 4
5⃣	tast, tast: 5
6⃣	tast, tast: 6
7⃣	tast, tast: 7
8⃣	tast, tast: 8
9⃣	tast, tast: 9
🏻	nuancë lëkure, nuancë lëkure e çelët, tipi I-II
🏼	nuancë lëkure, nuancë lëkure gjysmë e çelët, tipi III
🏽	nuancë lëkure, nuancë lëkure zeshkane, tipi IV
🏾	nuancë lëkure, nuancë lëkure gjysmë e errët, tipi V
🏿	nuancë lëkure, nuancë lëkure e errët, tipi VI
😀	fytyrë, fytyrë e zgërdheshur, zgërdheshje, zgërdhihem
😁	fytyrë e zgërdheshur me sy të qeshur, sy, zgërdheshje, zgërdhihem
😂	fytyrë, fytyrë me lot gëzimi, gëzim, lot, qesh
🤣	dysheme, fytyrë, qeshje, rrokullisje, rrokullisje në dysheme nga e qeshura
😃	buzëqeshje, e hapur, fytyrë, fytyrë e qeshur me gojën e hapur, gojë
😄	buzëqeshje, e hapur, fytyrë, fytyrë e qeshur me gojën e hapur dhe sy të qeshur, fytyrë me gojë të hapur dhe sy të qeshur, gojë
😅	djersë, e ftohtë, e hapur, fytyrë e qeshur me djersë të ftohta, fytyrë e qeshur me gojën e hapur dhe djersë të ftohta
😆	e kënaqur, fytyrë e qeshur me gojën e hapur dhe sy të mbyllur fort, fytyrë e qeshur me sy të mbyllur fort, gojë, qesh
😉	fytyrë, fytyrë që shkel syrin, shkel syrin
😊	buzëqeshje, fytyrë, fytyrë e qeshur me sy të qeshur, skuqem, sy
😋	buzëqeshje, fytyrë, fytyrë duke shijuar ushqime të shijshme, shijoj
😎	diell, fytyrë, fytyrë e qeshur me syze dielli, i ndritshëm, syze dielli
😍	buzëqeshje, dashuri, fytyrë e qeshur me sytë në formë zemre, sy, zemër
😘	fytyrë, fytyrë që jep një puthje, puth, puthje, zemër
🥰	adhurim, fytyrë e qeshur me 3 zemra, në dashuri, tërheqje
😗	fytyrë, fytyrë që puth, puth, puthje
😙	fytyrë që puth me sy të qeshur, puthje, sy
😚	fytyrë që puth me sytë e mbyllur, puth, puthje, sy, të mbyllur
☺	buzëqeshje, e qetë, e çlodhur, fytyrë, fytyrë e qeshur
🙂	buzëqesh, buzëqeshje, fytyrë, fytyrë pak e qeshur
🤗	fytyrë, fytyrë që përqafon, përqafim, përqafoj
