🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
🧖🏿	άτομο σε σάουνα, άτομο σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧖🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα σε σάουνα, γυναίκα σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
🧖🏿‍♀	γυναίκα σε σάουνα, γυναίκα σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧖🏻‍♂	άντρας σε σάουνα, άντρας σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾‍♂	άντρας σε σάουνα, άντρας σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
🧖🏿‍♂	άντρας σε σάουνα, άντρας σε σάουνα: σκούρος τόνος δέρματος, σάουνα, σκούρος τόνος δέρματος
🧗🏻	άτομο που αναρριχείται, άτομο που αναρριχείται: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏼	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏽	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτης
🧗🏾	άτομο που αναρριχείται, άτομο που αναρριχείται: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτης
🧗🏿	άτομο που αναρριχείται, άτομο που αναρριχείται: σκούρος τόνος δέρματος, ορειβάτης, σκούρος τόνος δέρματος
🧗🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα ορειβάτης, γυναίκα ορειβάτης: ανοιχτόχρωμος τόνος δέρματος, ορειβάτισσα
🧗🏼‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτισσα
🧗🏽‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτισσα
🧗🏾‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτισσα
🧗🏿‍♀	γυναίκα ορειβάτης, γυναίκα ορειβάτης: σκούρος τόνος δέρματος, ορειβάτισσα, σκούρος τόνος δέρματος
🧗🏻‍♂	άντρας ορειβάτης, άντρας ορειβάτης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏼‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ορειβάτης
🧗🏽‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ορειβάτης
🧗🏾‍♂	άντρας ορειβάτης, άντρας ορειβάτης: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ορειβάτης
🧗🏿‍♂	άντρας ορειβάτης, άντρας ορειβάτης: σκούρος τόνος δέρματος, ορειβάτης, σκούρος τόνος δέρματος
🧘🏻	άτομο σε θέση λωτού, άτομο σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γιόγκα, διαλογισμός
🧘🏼	άτομο σε θέση λωτού, άτομο σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧘🏽	άτομο σε θέση λωτού, άτομο σε θέση λωτού: μεσαίος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος τόνος δέρματος
🧘🏾	άτομο σε θέση λωτού, άτομο σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος-σκούρος τόνος δέρματος
🧘🏿	άτομο σε θέση λωτού, άτομο σε θέση λωτού: σκούρος τόνος δέρματος, γιόγκα, διαλογισμός, σκούρος τόνος δέρματος
🧘🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γιόγκα, γυναίκα σε θέση λωτού, γυναίκα σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος, διαλογισμός
🧘🏼‍♀	γιόγκα, γυναίκα σε θέση λωτού, γυναίκα σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, διαλογισμός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧘🏽‍♀	γιόγκα, γυναίκα σε θέση λωτού, γυναίκα σε θέση λωτού: μεσαίος τόνος δέρματος, διαλογισμός, μεσαίος τόνος δέρματος
🧘🏾‍♀	γιόγκα, γυναίκα σε θέση λωτού, γυναίκα σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος, διαλογισμός, μεσαίος-σκούρος τόνος δέρματος
🧘🏿‍♀	γιόγκα, γυναίκα σε θέση λωτού, γυναίκα σε θέση λωτού: σκούρος τόνος δέρματος, διαλογισμός, σκούρος τόνος δέρματος
🧘🏻‍♂	άντρας σε θέση λωτού, άντρας σε θέση λωτού: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γιόγκα, διαλογισμός
🧘🏼‍♂	άντρας σε θέση λωτού, άντρας σε θέση λωτού: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🧘🏽‍♂	άντρας σε θέση λωτού, άντρας σε θέση λωτού: μεσαίος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος τόνος δέρματος
🧘🏾‍♂	άντρας σε θέση λωτού, άντρας σε θέση λωτού: μεσαίος-σκούρος τόνος δέρματος, γιόγκα, διαλογισμός, μεσαίος-σκούρος τόνος δέρματος
🧘🏿‍♂	άντρας σε θέση λωτού, άντρας σε θέση λωτού: σκούρος τόνος δέρματος, γιόγκα, διαλογισμός, σκούρος τόνος δέρματος
🛀🏻	άνθρωπος που κάνει μπάνιο, άνθρωπος που κάνει μπάνιο: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μπάνιο, μπανιέρα
🛀🏼	άνθρωπος που κάνει μπάνιο, άνθρωπος που κάνει μπάνιο: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μπάνιο, μπανιέρα
🛀🏽	άνθρωπος που κάνει μπάνιο, άνθρωπος που κάνει μπάνιο: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, μπάνιο, μπανιέρα
🛀🏾	άνθρωπος που κάνει μπάνιο, άνθρωπος που κάνει μπάνιο: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, μπάνιο, μπανιέρα
🛀🏿	άνθρωπος που κάνει μπάνιο, άνθρωπος που κάνει μπάνιο: σκούρος τόνος δέρματος, μπάνιο, μπανιέρα, σκούρος τόνος δέρματος
🛌🏻	άνθρωπος σε κρεβάτι, άνθρωπος σε κρεβάτι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ξενοδοχείο, ύπνος
🛌🏼	άνθρωπος σε κρεβάτι, άνθρωπος σε κρεβάτι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ξενοδοχείο, ύπνος
🛌🏽	άνθρωπος σε κρεβάτι, άνθρωπος σε κρεβάτι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ξενοδοχείο, ύπνος
