‾	اوور لائن
👩🏼‍💻	جلد کی درمیانی -ہلکی رنگت, عورت, عورت ٹیکنولاجسٹ, عورت ٹیکنولاجسٹ: جلد کی درمیانی -ہلکی رنگت, لیپ ٹاپ, کمپیوٹر, کوڈر
👩🏽‍💻	جلد کی درمیانی رنگت, عورت, عورت ٹیکنولاجسٹ, عورت ٹیکنولاجسٹ: جلد کی درمیانی رنگت, لیپ ٹاپ, کمپیوٹر, کوڈر
👩🏾‍💻	جلد کی درمیانی سیاہ رنگت, عورت, عورت ٹیکنولاجسٹ, عورت ٹیکنولاجسٹ: جلد کی درمیانی سیاہ رنگت, لیپ ٹاپ, کمپیوٹر, کوڈر
👩🏿‍💻	جلد کی سیاہ رنگت, عورت, عورت ٹیکنولاجسٹ, عورت ٹیکنولاجسٹ: جلد کی سیاہ رنگت, لیپ ٹاپ, کمپیوٹر, کوڈر
🧑‍🎤	اداکار, تفریح فراہم کرنے والا, راک, سنگر, فنکار, گلوکار
🧑🏻‍🎤	اداکار, تفریح فراہم کرنے والا, جلد کی ہلکی رنگت, راک, سنگر, سنگر: جلد کی ہلکی رنگت, فنکار, گلوکار
🧑🏼‍🎤	اداکار, تفریح فراہم کرنے والا, جلد کی درمیانی -ہلکی رنگت, راک, سنگر, سنگر: جلد کی درمیانی -ہلکی رنگت, فنکار, گلوکار
🧑🏽‍🎤	اداکار, تفریح فراہم کرنے والا, جلد کی درمیانی رنگت, راک, سنگر, سنگر: جلد کی درمیانی رنگت, فنکار, گلوکار
🧑🏾‍🎤	اداکار, تفریح فراہم کرنے والا, جلد کی درمیانی سیاہ رنگت, راک, سنگر, سنگر: جلد کی درمیانی سیاہ رنگت, فنکار, گلوکار
🧑🏿‍🎤	اداکار, تفریح فراہم کرنے والا, جلد کی سیاہ رنگت, راک, سنگر, سنگر: جلد کی سیاہ رنگت, فنکار, گلوکار
👨‍🎤	سنگر, فنکار, گلوکار
👨🏻‍🎤	جلد کی ہلکی رنگت, سنگر, فنکار, گلوکار, گلوکار: جلد کی ہلکی رنگت
👨🏼‍🎤	جلد کی درمیانی -ہلکی رنگت, سنگر, فنکار, گلوکار, گلوکار: جلد کی درمیانی -ہلکی رنگت
👨🏽‍🎤	جلد کی درمیانی رنگت, سنگر, فنکار, گلوکار, گلوکار: جلد کی درمیانی رنگت
👨🏾‍🎤	جلد کی درمیانی سیاہ رنگت, سنگر, فنکار, گلوکار, گلوکار: جلد کی درمیانی سیاہ رنگت
👨🏿‍🎤	جلد کی سیاہ رنگت, سنگر, فنکار, گلوکار, گلوکار: جلد کی سیاہ رنگت
👩‍🎤	سنگر, فنکار, گلوکارہ
👩🏻‍🎤	جلد کی ہلکی رنگت, سنگر, فنکار, گلوکارہ, گلوکارہ: جلد کی ہلکی رنگت
👩🏼‍🎤	جلد کی درمیانی -ہلکی رنگت, سنگر, فنکار, گلوکارہ, گلوکارہ: جلد کی درمیانی -ہلکی رنگت
👩🏽‍🎤	جلد کی درمیانی رنگت, سنگر, فنکار, گلوکارہ, گلوکارہ: جلد کی درمیانی رنگت
👩🏾‍🎤	جلد کی درمیانی سیاہ رنگت, سنگر, فنکار, گلوکارہ, گلوکارہ: جلد کی درمیانی سیاہ رنگت
👩🏿‍🎤	جلد کی سیاہ رنگت, سنگر, فنکار, گلوکارہ, گلوکارہ: جلد کی سیاہ رنگت
🧑‍🎨	آرٹسٹ, رنگوں کی تختی
🧑🏻‍🎨	آرٹسٹ, آرٹسٹ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, رنگوں کی تختی
🧑🏼‍🎨	آرٹسٹ, آرٹسٹ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, رنگوں کی تختی
🧑🏽‍🎨	آرٹسٹ, آرٹسٹ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, رنگوں کی تختی
🧑🏾‍🎨	آرٹسٹ, آرٹسٹ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, رنگوں کی تختی
🧑🏿‍🎨	آرٹسٹ, آرٹسٹ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, رنگوں کی تختی
👨‍🎨	آرٹسٹ, سنگر, فنکار
👨🏻‍🎨	آرٹسٹ, جلد کی ہلکی رنگت, سنگر, فنکار, فنکار: جلد کی ہلکی رنگت
👨🏼‍🎨	آرٹسٹ, جلد کی درمیانی -ہلکی رنگت, سنگر, فنکار, فنکار: جلد کی درمیانی -ہلکی رنگت
👨🏽‍🎨	آرٹسٹ, جلد کی درمیانی رنگت, سنگر, فنکار, فنکار: جلد کی درمیانی رنگت
👨🏾‍🎨	آرٹسٹ, جلد کی درمیانی سیاہ رنگت, سنگر, فنکار, فنکار: جلد کی درمیانی سیاہ رنگت
👨🏿‍🎨	آرٹسٹ, جلد کی سیاہ رنگت, سنگر, فنکار, فنکار: جلد کی سیاہ رنگت
👩‍🎨	آرٹسٹ, سنگر, فنکارہ
👩🏻‍🎨	آرٹسٹ, جلد کی ہلکی رنگت, سنگر, فنکارہ, فنکارہ: جلد کی ہلکی رنگت
👩🏼‍🎨	آرٹسٹ, جلد کی درمیانی -ہلکی رنگت, سنگر, فنکارہ, فنکارہ: جلد کی درمیانی -ہلکی رنگت
👩🏽‍🎨	آرٹسٹ, جلد کی درمیانی رنگت, سنگر, فنکارہ, فنکارہ: جلد کی درمیانی رنگت
👩🏾‍🎨	آرٹسٹ, جلد کی درمیانی سیاہ رنگت, سنگر, فنکارہ, فنکارہ: جلد کی درمیانی سیاہ رنگت
👩🏿‍🎨	آرٹسٹ, جلد کی سیاہ رنگت, سنگر, فنکارہ, فنکارہ: جلد کی سیاہ رنگت
🧑‍✈	جہاز, پائلٹ, پائیلٹ
🧑🏻‍✈	جلد کی ہلکی رنگت, جہاز, پائلٹ, پائیلٹ, پائیلٹ: جلد کی ہلکی رنگت
🧑🏼‍✈	جلد کی درمیانی -ہلکی رنگت, جہاز, پائلٹ, پائیلٹ, پائیلٹ: جلد کی درمیانی -ہلکی رنگت
🧑🏽‍✈	جلد کی درمیانی رنگت, جہاز, پائلٹ, پائیلٹ, پائیلٹ: جلد کی درمیانی رنگت
🧑🏾‍✈	جلد کی درمیانی سیاہ رنگت, جہاز, پائلٹ, پائیلٹ, پائیلٹ: جلد کی درمیانی سیاہ رنگت
🧑🏿‍✈	جلد کی سیاہ رنگت, جہاز, پائلٹ, پائیلٹ, پائیلٹ: جلد کی سیاہ رنگت
👨‍✈	آسمان, مرد, مرد پائلٹ, پائلٹ, ہوائی جہاز
👨🏻‍✈	آسمان, جلد کی ہلکی رنگت, مرد, مرد پائلٹ: جلد کی ہلکی رنگت, پائلٹ, ہوائی جہاز
👨🏼‍✈	آسمان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد پائلٹ: جلد کی درمیانی -ہلکی رنگت, پائلٹ, ہوائی جہاز
👨🏽‍✈	آسمان, جلد کی درمیانی رنگت, مرد, مرد پائلٹ: جلد کی درمیانی رنگت, پائلٹ, ہوائی جہاز
👨🏾‍✈	آسمان, جلد کی درمیانی سیاہ رنگت, مرد, مرد پائلٹ: جلد کی درمیانی سیاہ رنگت, پائلٹ, ہوائی جہاز
👨🏿‍✈	آسمان, جلد کی سیاہ رنگت, مرد, مرد پائلٹ: جلد کی سیاہ رنگت, پائلٹ, ہوائی جہاز
👩‍✈	آسمان, عورت, عورت پائلٹ, پائلٹ, ہوائی جہاز
👩🏻‍✈	آسمان, جلد کی ہلکی رنگت, عورت, عورت پائلٹ: جلد کی ہلکی رنگت, پائلٹ, ہوائی جہاز
👩🏼‍✈	آسمان, جلد کی درمیانی -ہلکی رنگت, عورت, عورت پائلٹ: جلد کی درمیانی -ہلکی رنگت, پائلٹ, ہوائی جہاز
👩🏽‍✈	آسمان, جلد کی درمیانی رنگت, عورت, عورت پائلٹ: جلد کی درمیانی رنگت, پائلٹ, ہوائی جہاز
👩🏾‍✈	آسمان, جلد کی درمیانی سیاہ رنگت, عورت, عورت پائلٹ: جلد کی درمیانی سیاہ رنگت, پائلٹ, ہوائی جہاز
👩🏿‍✈	آسمان, جلد کی سیاہ رنگت, عورت, عورت پائلٹ: جلد کی سیاہ رنگت, پائلٹ, ہوائی جہاز
🧑‍🚀	خلا باز, خلاباز, راکٹ
🧑🏻‍🚀	جلد کی ہلکی رنگت, خلا باز, خلا باز: جلد کی ہلکی رنگت, خلاباز, راکٹ
🧑🏼‍🚀	جلد کی درمیانی -ہلکی رنگت, خلا باز, خلا باز: جلد کی درمیانی -ہلکی رنگت, خلاباز, راکٹ
🧑🏽‍🚀	جلد کی درمیانی رنگت, خلا باز, خلا باز: جلد کی درمیانی رنگت, خلاباز, راکٹ
🧑🏾‍🚀	جلد کی درمیانی سیاہ رنگت, خلا باز, خلا باز: جلد کی درمیانی سیاہ رنگت, خلاباز, راکٹ
🧑🏿‍🚀	جلد کی سیاہ رنگت, خلا باز, خلا باز: جلد کی سیاہ رنگت, خلاباز, راکٹ
👨‍🚀	خلا, خلاباز, راکٹ, مرد, مرد خلاباز
👨🏻‍🚀	جلد کی ہلکی رنگت, خلا, خلاباز, راکٹ, مرد, مرد خلاباز: جلد کی ہلکی رنگت
👨🏼‍🚀	جلد کی درمیانی -ہلکی رنگت, خلا, خلاباز, راکٹ, مرد, مرد خلاباز: جلد کی درمیانی -ہلکی رنگت
👨🏽‍🚀	جلد کی درمیانی رنگت, خلا, خلاباز, راکٹ, مرد, مرد خلاباز: جلد کی درمیانی رنگت
👨🏾‍🚀	جلد کی درمیانی سیاہ رنگت, خلا, خلاباز, راکٹ, مرد, مرد خلاباز: جلد کی درمیانی سیاہ رنگت
👨🏿‍🚀	جلد کی سیاہ رنگت, خلا, خلاباز, راکٹ, مرد, مرد خلاباز: جلد کی سیاہ رنگت
👩‍🚀	خلا, خلاباز, راکٹ, عورت خلاباز, مرد
👩🏻‍🚀	جلد کی ہلکی رنگت, خلا, خلاباز, راکٹ, عورت خلاباز, عورت خلاباز: جلد کی ہلکی رنگت, مرد
👩🏼‍🚀	جلد کی درمیانی -ہلکی رنگت, خلا, خلاباز, راکٹ, عورت خلاباز, عورت خلاباز: جلد کی درمیانی -ہلکی رنگت, مرد
👩🏽‍🚀	جلد کی درمیانی رنگت, خلا, خلاباز, راکٹ, عورت خلاباز, عورت خلاباز: جلد کی درمیانی رنگت, مرد
👩🏾‍🚀	جلد کی درمیانی سیاہ رنگت, خلا, خلاباز, راکٹ, عورت خلاباز, عورت خلاباز: جلد کی درمیانی سیاہ رنگت, مرد
👩🏿‍🚀	جلد کی سیاہ رنگت, خلا, خلاباز, راکٹ, عورت خلاباز, عورت خلاباز: جلد کی سیاہ رنگت, مرد
🧑‍🚒	فائر فائٹر, فائر ٹرک
🧑🏻‍🚒	جلد کی ہلکی رنگت, فائر فائٹر, فائر فائٹر: جلد کی ہلکی رنگت, فائر ٹرک
🧑🏼‍🚒	جلد کی درمیانی -ہلکی رنگت, فائر فائٹر, فائر فائٹر: جلد کی درمیانی -ہلکی رنگت, فائر ٹرک
🧑🏽‍🚒	جلد کی درمیانی رنگت, فائر فائٹر, فائر فائٹر: جلد کی درمیانی رنگت, فائر ٹرک
🧑🏾‍🚒	جلد کی درمیانی سیاہ رنگت, فائر فائٹر, فائر فائٹر: جلد کی درمیانی سیاہ رنگت, فائر ٹرک
🧑🏿‍🚒	جلد کی سیاہ رنگت, فائر فائٹر, فائر فائٹر: جلد کی سیاہ رنگت, فائر ٹرک
👨‍🚒	آگ, آگ بجھانے والا, فائر فائٹر, مرد, مرد فائر فائٹر
👨🏻‍🚒	آگ, آگ بجھانے والا, جلد کی ہلکی رنگت, فائر فائٹر, مرد, مرد فائر فائٹر, مرد فائر فائٹر: جلد کی ہلکی رنگت
👨🏼‍🚒	آگ, آگ بجھانے والا, جلد کی درمیانی -ہلکی رنگت, فائر فائٹر, مرد, مرد فائر فائٹر, مرد فائر فائٹر: جلد کی درمیانی -ہلکی رنگت
👨🏽‍🚒	آگ, آگ بجھانے والا, جلد کی درمیانی رنگت, فائر فائٹر, مرد, مرد فائر فائٹر, مرد فائر فائٹر: جلد کی درمیانی رنگت
👨🏾‍🚒	آگ, آگ بجھانے والا, جلد کی درمیانی سیاہ رنگت, فائر فائٹر, مرد, مرد فائر فائٹر, مرد فائر فائٹر: جلد کی درمیانی سیاہ رنگت
👨🏿‍🚒	آگ, آگ بجھانے والا, جلد کی سیاہ رنگت, فائر فائٹر, مرد, مرد فائر فائٹر, مرد فائر فائٹر: جلد کی سیاہ رنگت
👩‍🚒	آگ, آگ بجھانے والی, عورت فائر فائٹر, فائر فائٹر, مرد
👩🏻‍🚒	آگ, آگ بجھانے والی, جلد کی ہلکی رنگت, عورت فائر فائٹر, عورت فائر فائٹر: جلد کی ہلکی رنگت, فائر فائٹر, مرد
👩🏼‍🚒	آگ, آگ بجھانے والی, جلد کی درمیانی -ہلکی رنگت, عورت فائر فائٹر, عورت فائر فائٹر: جلد کی درمیانی -ہلکی رنگت, فائر فائٹر, مرد
👩🏽‍🚒	آگ, آگ بجھانے والی, جلد کی درمیانی رنگت, عورت فائر فائٹر, عورت فائر فائٹر: جلد کی درمیانی رنگت, فائر فائٹر, مرد
👩🏾‍🚒	آگ, آگ بجھانے والی, جلد کی درمیانی سیاہ رنگت, عورت فائر فائٹر, عورت فائر فائٹر: جلد کی درمیانی سیاہ رنگت, فائر فائٹر, مرد
👩🏿‍🚒	آگ, آگ بجھانے والی, جلد کی سیاہ رنگت, عورت فائر فائٹر, عورت فائر فائٹر: جلد کی سیاہ رنگت, فائر فائٹر, مرد
👮	آفیسر, پولیس, پولیس آفیسر
👮🏻	آفیسر, جلد کی ہلکی رنگت, پولیس, پولیس آفیسر: جلد کی ہلکی رنگت
👮🏼	آفیسر, جلد کی درمیانی -ہلکی رنگت, پولیس, پولیس آفیسر: جلد کی درمیانی -ہلکی رنگت
👮🏽	آفیسر, جلد کی درمیانی رنگت, پولیس, پولیس آفیسر: جلد کی درمیانی رنگت
👮🏾	آفیسر, جلد کی درمیانی سیاہ رنگت, پولیس, پولیس آفیسر: جلد کی درمیانی سیاہ رنگت
👮🏿	آفیسر, جلد کی سیاہ رنگت, پولیس, پولیس آفیسر: جلد کی سیاہ رنگت
👮‍♂	آفیسر, مرد, مرد پولیس آفیسر, پولیس, پولیس اسٹیشن
👮🏻‍♂	آفیسر, جلد کی ہلکی رنگت, مرد, مرد پولیس آفیسر: جلد کی ہلکی رنگت, پولیس, پولیس اسٹیشن
👮🏼‍♂	آفیسر, جلد کی درمیانی -ہلکی رنگت, مرد, مرد پولیس آفیسر: جلد کی درمیانی -ہلکی رنگت, پولیس, پولیس اسٹیشن
👮🏽‍♂	آفیسر, جلد کی درمیانی رنگت, مرد, مرد پولیس آفیسر: جلد کی درمیانی رنگت, پولیس, پولیس اسٹیشن
👮🏾‍♂	آفیسر, جلد کی درمیانی سیاہ رنگت, مرد, مرد پولیس آفیسر: جلد کی درمیانی سیاہ رنگت, پولیس, پولیس اسٹیشن
👮🏿‍♂	آفیسر, جلد کی سیاہ رنگت, مرد, مرد پولیس آفیسر: جلد کی سیاہ رنگت, پولیس, پولیس اسٹیشن
