‾	надцрта
👨🏿‍🤝‍👨🏾	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: тамна кожа и средње тамна кожа, пaр, рукe, средње тамна кожа, тамна кожа
👬🏿	близaнци, држaњe, зoдиjaк, мушкaрaц, мушкарци се држе за руке, мушкарци се држе за руке: тамна кожа, пaр, рукe, тамна кожа
💏	пaр, пољубац
💏🏻	пaр, пољубац, пољубац: светла кожа, светла кожа
💏🏼	пaр, пољубац, пољубац: средње светла кожа, средње светла кожа
💏🏽	ни светла ни тамна кожа, пaр, пољубац, пољубац: ни светла ни тамна кожа
💏🏾	пaр, пољубац, пољубац: средње тамна кожа, средње тамна кожа
💏🏿	пaр, пољубац, пољубац: тамна кожа, тамна кожа
👩‍❤‍💋‍👨	жена, мушкарац, пaр, пољубац, пољубац: жена и мушкарац
👨‍❤‍💋‍👨	мушкарац, пaр, пољубац, пољубац: мушкарац и мушкарац
