😀	išsišiepti, išsišiepęs veidas, veidas
🚴🏽‍♂	4 odos tipas, dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: 4 odos tipas
🚴🏾‍♂	5 odos tipas, dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: 5 odos tipas
🚴🏿‍♂	6 odos tipas, dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: 6 odos tipas
🚴‍♀	dviratininkė, dviratis, moteris, važinėjimas dviračiu
🚴🏻‍♀	1 ir 2 odos tipai, dviratininkė, dviratininkė: 1 ir 2 odos tipai, dviratis, moteris, važinėjimas dviračiu
🚴🏼‍♀	3 odos tipas, dviratininkė, dviratininkė: 3 odos tipas, dviratis, moteris, važinėjimas dviračiu
🚴🏽‍♀	4 odos tipas, dviratininkė, dviratininkė: 4 odos tipas, dviratis, moteris, važinėjimas dviračiu
🚴🏾‍♀	5 odos tipas, dviratininkė, dviratininkė: 5 odos tipas, dviratis, moteris, važinėjimas dviračiu
🚴🏿‍♀	6 odos tipas, dviratininkė, dviratininkė: 6 odos tipas, dviratis, moteris, važinėjimas dviračiu
🚵	dviratininkas, dviratis, kalnas, kalnų dviratininkas
🚵🏻	1 ir 2 odos tipai, dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: 1 ir 2 odos tipai
🚵🏼	3 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: 3 odos tipas
🚵🏽	4 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: 4 odos tipas
🚵🏾	5 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: 5 odos tipas
🚵🏿	6 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas, kalnų dviratininkas: 6 odos tipas
🚵‍♂	dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, važinėjimas dviračiu, vyras
🚵🏻‍♂	1 ir 2 odos tipai, dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: 1 ir 2 odos tipai, važinėjimas dviračiu, vyras
🚵🏼‍♂	3 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: 3 odos tipas, važinėjimas dviračiu, vyras
🚵🏽‍♂	4 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: 4 odos tipas, važinėjimas dviračiu, vyras
🚵🏾‍♂	5 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: 5 odos tipas, važinėjimas dviračiu, vyras
🚵🏿‍♂	6 odos tipas, dviratininkas, dviratis, kalnas, kalnų dviratininkas vyras, kalnų dviratininkas vyras: 6 odos tipas, važinėjimas dviračiu, vyras
🚵‍♀	dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, moteris, važinėjimas dviračiu
🚵🏻‍♀	1 ir 2 odos tipai, dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: 1 ir 2 odos tipai, moteris, važinėjimas dviračiu
🚵🏼‍♀	3 odos tipas, dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: 3 odos tipas, moteris, važinėjimas dviračiu
🚵🏽‍♀	4 odos tipas, dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: 4 odos tipas, moteris, važinėjimas dviračiu
🚵🏾‍♀	5 odos tipas, dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: 5 odos tipas, moteris, važinėjimas dviračiu
🚵🏿‍♀	6 odos tipas, dviratininkė, dviratis, kalnas, kalnų dviratininkė moteris, kalnų dviratininkė moteris: 6 odos tipas, moteris, važinėjimas dviračiu
🤸	gimnastika, persivertimas, persivertimas šonu
🤸🏻	1 ir 2 odos tipai, gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: 1 ir 2 odos tipai
🤸🏼	3 odos tipas, gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: 3 odos tipas
🤸🏽	4 odos tipas, gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: 4 odos tipas
🤸🏾	5 odos tipas, gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: 5 odos tipas
🤸🏿	6 odos tipas, gimnastika, persivertimas, persivertimas šonu, persivertimas šonu: 6 odos tipas
🤸‍♂	gimnastika, suktukas, vyras, vyras daro suktuką
🤸🏻‍♂	1 ir 2 odos tipai, gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: 1 ir 2 odos tipai
🤸🏼‍♂	3 odos tipas, gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: 3 odos tipas
🤸🏽‍♂	4 odos tipas, gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: 4 odos tipas
🤸🏾‍♂	5 odos tipas, gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: 5 odos tipas
🤸🏿‍♂	6 odos tipas, gimnastika, suktukas, vyras, vyras daro suktuką, vyras daro suktuką: 6 odos tipas
🤸‍♀	gimnastika, moteris, moteris daro suktuką, suktukas
🤸🏻‍♀	1 ir 2 odos tipai, gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: 1 ir 2 odos tipai, suktukas
🤸🏼‍♀	3 odos tipas, gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: 3 odos tipas, suktukas
🤸🏽‍♀	4 odos tipas, gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: 4 odos tipas, suktukas
🤸🏾‍♀	5 odos tipas, gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: 5 odos tipas, suktukas
🤸🏿‍♀	6 odos tipas, gimnastika, moteris, moteris daro suktuką, moteris daro suktuką: 6 odos tipas, suktukas
🤼	imtynininkai, imtynininkas, imtynės
🤼‍♂	imtynės, vyrai, vyrų imtynės
🤼‍♀	imtynės, moteris, moterų imtynės
🤽	vandensvydis, vanduo
🤽🏻	1 ir 2 odos tipai, vandensvydis, vandensvydis: 1 ir 2 odos tipai, vanduo
🤽🏼	3 odos tipas, vandensvydis, vandensvydis: 3 odos tipas, vanduo
🤽🏽	4 odos tipas, vandensvydis, vandensvydis: 4 odos tipas, vanduo
🤽🏾	5 odos tipas, vandensvydis, vandensvydis: 5 odos tipas, vanduo
🤽🏿	6 odos tipas, vandensvydis, vandensvydis: 6 odos tipas, vanduo
🤽‍♂	vandensvydis, vandensvydžio žaidėjas, vyras
🤽🏻‍♂	1 ir 2 odos tipai, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: 1 ir 2 odos tipai, vyras
🤽🏼‍♂	3 odos tipas, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: 3 odos tipas, vyras
🤽🏽‍♂	4 odos tipas, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: 4 odos tipas, vyras
🤽🏾‍♂	5 odos tipas, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: 5 odos tipas, vyras
🤽🏿‍♂	6 odos tipas, vandensvydis, vandensvydžio žaidėjas, vandensvydžio žaidėjas: 6 odos tipas, vyras
🤽‍♀	moteris, vandensvydis, vandensvydžio žaidėja
🤽🏻‍♀	1 ir 2 odos tipai, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: 1 ir 2 odos tipai
🤽🏼‍♀	3 odos tipas, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: 3 odos tipas
🤽🏽‍♀	4 odos tipas, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: 4 odos tipas
🤽🏾‍♀	5 odos tipas, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: 5 odos tipas
🤽🏿‍♀	6 odos tipas, moteris, vandensvydis, vandensvydžio žaidėja, vandensvydžio žaidėja: 6 odos tipas
🤾	kamuolys, rankinis
🤾🏻	1 ir 2 odos tipai, kamuolys, rankinis, rankinis: 1 ir 2 odos tipai
🤾🏼	3 odos tipas, kamuolys, rankinis, rankinis: 3 odos tipas
🤾🏽	4 odos tipas, kamuolys, rankinis, rankinis: 4 odos tipas
🤾🏾	5 odos tipas, kamuolys, rankinis, rankinis: 5 odos tipas
🤾🏿	6 odos tipas, kamuolys, rankinis, rankinis: 6 odos tipas
🤾‍♂	rankininkas, rankinis, vyras
🤾🏻‍♂	1 ir 2 odos tipai, rankininkas, rankininkas: 1 ir 2 odos tipai, rankinis, vyras
🤾🏼‍♂	3 odos tipas, rankininkas, rankininkas: 3 odos tipas, rankinis, vyras
🤾🏽‍♂	4 odos tipas, rankininkas, rankininkas: 4 odos tipas, rankinis, vyras
🤾🏾‍♂	5 odos tipas, rankininkas, rankininkas: 5 odos tipas, rankinis, vyras
🤾🏿‍♂	6 odos tipas, rankininkas, rankininkas: 6 odos tipas, rankinis, vyras
🤾‍♀	moteris, rankininkė, rankinis
🤾🏻‍♀	1 ir 2 odos tipai, moteris, rankininkė, rankininkė: 1 ir 2 odos tipai, rankinis
🤾🏼‍♀	3 odos tipas, moteris, rankininkė, rankininkė: 3 odos tipas, rankinis
🤾🏽‍♀	4 odos tipas, moteris, rankininkė, rankininkė: 4 odos tipas, rankinis
🤾🏾‍♀	5 odos tipas, moteris, rankininkė, rankininkė: 5 odos tipas, rankinis
🤾🏿‍♀	6 odos tipas, moteris, rankininkė, rankininkė: 6 odos tipas, rankinis
🤹	pusiausvyra, reakcija, įgūdis, žongliravimas, žongliruoti
🤹🏻	1 ir 2 odos tipai, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: 1 ir 2 odos tipai, žongliruoti
🤹🏼	3 odos tipas, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: 3 odos tipas, žongliruoti
🤹🏽	4 odos tipas, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: 4 odos tipas, žongliruoti
🤹🏾	5 odos tipas, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: 5 odos tipas, žongliruoti
🤹🏿	6 odos tipas, pusiausvyra, reakcija, įgūdis, žongliravimas, žongliravimas: 6 odos tipas, žongliruoti
🤹‍♂	sudėtinga, vyras, žongliravimas, žongliruotojas
🤹🏻‍♂	1 ir 2 odos tipai, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: 1 ir 2 odos tipai
🤹🏼‍♂	3 odos tipas, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: 3 odos tipas
🤹🏽‍♂	4 odos tipas, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: 4 odos tipas
🤹🏾‍♂	5 odos tipas, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: 5 odos tipas
🤹🏿‍♂	6 odos tipas, sudėtinga, vyras, žongliravimas, žongliruotojas, žongliruotojas: 6 odos tipas
🤹‍♀	moteris, sudėtinga, žongliravimas, žongliruotoja
🤹🏻‍♀	1 ir 2 odos tipai, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: 1 ir 2 odos tipai
🤹🏼‍♀	3 odos tipas, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: 3 odos tipas
🤹🏽‍♀	4 odos tipas, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: 4 odos tipas
🤹🏾‍♀	5 odos tipas, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: 5 odos tipas
🤹🏿‍♀	6 odos tipas, moteris, sudėtinga, žongliravimas, žongliruotoja, žongliruotoja: 6 odos tipas
🧘	joga, meditacija, žmogus lotoso pozoje
🧘🏻	1 ir 2 odos tipai, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: 1 ir 2 odos tipai
🧘🏼	3 odos tipas, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: 3 odos tipas
🧘🏽	4 odos tipas, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: 4 odos tipas
🧘🏾	5 odos tipas, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: 5 odos tipas
🧘🏿	6 odos tipas, joga, meditacija, žmogus lotoso pozoje, žmogus lotoso pozoje: 6 odos tipas
🧘‍♂	joga, meditacija, vyras lotoso pozoje
🧘🏻‍♂	1 ir 2 odos tipai, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: 1 ir 2 odos tipai
🧘🏼‍♂	3 odos tipas, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: 3 odos tipas
🧘🏽‍♂	4 odos tipas, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: 4 odos tipas
🧘🏾‍♂	5 odos tipas, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: 5 odos tipas
🧘🏿‍♂	6 odos tipas, joga, meditacija, vyras lotoso pozoje, vyras lotoso pozoje: 6 odos tipas
🧘‍♀	joga, meditacija, moteris lotoso pozoje
🧘🏻‍♀	1 ir 2 odos tipai, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: 1 ir 2 odos tipai
🧘🏼‍♀	3 odos tipas, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: 3 odos tipas
🧘🏽‍♀	4 odos tipas, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: 4 odos tipas
🧘🏾‍♀	5 odos tipas, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: 5 odos tipas
🧘🏿‍♀	6 odos tipas, joga, meditacija, moteris lotoso pozoje, moteris lotoso pozoje: 6 odos tipas
🛀	vonia, žmogus prausiasi vonioje
🛀🏻	1 ir 2 odos tipai, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: 1 ir 2 odos tipai
🛀🏼	3 odos tipas, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: 3 odos tipas
🛀🏽	4 odos tipas, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: 4 odos tipas
🛀🏾	5 odos tipas, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: 5 odos tipas
🛀🏿	6 odos tipas, vonia, žmogus prausiasi vonioje, žmogus prausiasi vonioje: 6 odos tipas
🛌	miegoti, viešbutis, žmogus lovoje
🛌🏻	1 ir 2 odos tipai, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: 1 ir 2 odos tipai
🛌🏼	3 odos tipas, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: 3 odos tipas
🛌🏽	4 odos tipas, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: 4 odos tipas
🛌🏾	5 odos tipas, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: 5 odos tipas
🛌🏿	6 odos tipas, miegoti, viešbutis, žmogus lovoje, žmogus lovoje: 6 odos tipas
👭	dvi moterys, susikibusios už rankų, laikyti, moteris, pora, ranka
👫	laikyti, moteris, pora, ranka, vyras, vyras ir moteris, susikibę už rankų
👬	du vyrai, susikibę už rankų, dvyniai, laikyti, pora, ranka, vyras, zodiakas
💏	bučinys, pora
👩‍❤‍💋‍👨	bučinys, bučinys: moteris vyras, moteris, pora, vyras
👨‍❤‍💋‍👨	bučinys, bučinys: vyras vyras, pora, vyras
👩‍❤‍💋‍👩	bučinys, bučinys: moteris moteris, moteris, pora
💑	meilė, pora, pora su širdele
👩‍❤‍👨	meilė, moteris, pora, pora su širdele, pora su širdele: moteris vyras, vyras
👨‍❤‍👨	meilė, pora, pora su širdele, pora su širdele: vyras vyras, vyras
👩‍❤‍👩	meilė, moteris, pora, pora su širdele, pora su širdele: moteris moteris
👪️	mama, tėvas, vaikas, šeima
👨‍👩‍👦	berniukas, mama, moteris, tėvas, vaikas, vyras, šeima, šeima: vyras moteris berniukas
👨‍👩‍👧	mama, mergaitė, moteris, tėvas, vaikas, vyras, šeima, šeima: vyras moteris mergaitė
👨‍👩‍👧‍👦	berniukas, mama, mergaitė, moteris, tėvas, vaikas, vyras, šeima, šeima: vyras moteris mergaitė berniukas
👨‍👩‍👦‍👦	berniukas, mama, moteris, tėvas, vaikas, vyras, šeima, šeima: vyras moteris berniukas berniukas
👨‍👩‍👧‍👧	mama, mergaitė, moteris, tėvas, vaikas, vyras, šeima, šeima: vyras moteris mergaitė mergaitė
👨‍👨‍👦	berniukas, mama, tėvas, vaikas, vyras, šeima, šeima: vyras vyras berniukas
👨‍👨‍👧	mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras vyras mergaitė
👨‍👨‍👧‍👦	berniukas, mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras vyras mergaitė berniukas
👨‍👨‍👦‍👦	berniukas, mama, tėvas, vaikas, vyras, šeima, šeima: vyras vyras berniukas berniukas
👨‍👨‍👧‍👧	mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras vyras mergaitė mergaitė
👩‍👩‍👦	berniukas, mama, moteris, tėvas, vaikas, šeima, šeima: moteris moteris berniukas
👩‍👩‍👧	mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris moteris mergaitė
👩‍👩‍👧‍👦	berniukas, mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris moteris mergaitė berniukas
👩‍👩‍👦‍👦	berniukas, mama, moteris, tėvas, vaikas, šeima, šeima: moteris moteris berniukas berniukas
👩‍👩‍👧‍👧	mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris moteris mergaitė mergaitė
👨‍👦	berniukas, mama, tėvas, vaikas, vyras, šeima, šeima: vyras berniukas
👨‍👦‍👦	berniukas, mama, tėvas, vaikas, vyras, šeima, šeima: vyras berniukas berniukas
👨‍👧	mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras mergaitė
👨‍👧‍👦	berniukas, mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras mergaitė berniukas
👨‍👧‍👧	mama, mergaitė, tėvas, vaikas, vyras, šeima, šeima: vyras mergaitė mergaitė
👩‍👦	berniukas, mama, moteris, tėvas, vaikas, šeima, šeima: moteris berniukas
👩‍👦‍👦	berniukas, mama, moteris, tėvas, vaikas, šeima, šeima: moteris berniukas berniukas
👩‍👧	mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris mergaitė
👩‍👧‍👦	berniukas, mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris mergaitė berniukas
👩‍👧‍👧	mama, mergaitė, moteris, tėvas, vaikas, šeima, šeima: moteris mergaitė mergaitė
🗣️	galva, kalbanti galva, kalbėjimas, kalbėti, siluetas, veidas
👤	biustas, biusto siluetas, siluetas
👥	biustas, biustų siluetai, siluetas
👣	drabužiai, kūnas, pėdsakai, pėdsakas
🦰	raudoni plaukai, raudonplaukis, rausvas
🦱	afro, garbanos, garbanotas, garbanoti plaukai
🦳	baltas, pilkas, plaukai, senas, žili plaukai
🦲	beplaukis, chemoterapija, plikas, skustas
🐵	beždžionė, beždžionės snukutis, veidas
🐒	beždžionė
🦍	gorila, gyvūnas
🐶	naminis gyvūnas, veidas, šuns snukutis, šuo
🐕️	naminis gyvūnas, šuo
🐩	pudelis, šuo
🐺	veidas, vilkas, vilko snukis
🦊	lapė, lapės snukis, snukis
🦝	gudrus, meškėnas, smalsus
🐱	katė, katės snukutis, naminis gyvūnas, veidas
🐈️	katė, naminis gyvūnas
🦁	liūtas, liūto snukis, veidas, zodiakas
🐯	tigras, tigro snukis, veidas
🐅	tigras
🐆	leopardas
🐴	arklio snukis, arklys, veidas
🐎	arklių varžybos, arklys, varžytis
🦄	veidas, vienaragio snukis, vienaragis
🦓	dryžis, zebras
🦌	elnias
🐮	karvė, karvės snukis, veidas
🐂	bulius, jautis, tauras, zodiakas
🐃	azijinis, azijinis buivolas, buivolas
🐄	karvė
🐷	kiaulė, kiaulės snukis, veidas
🐖	kiaulė
🐗	kiaulė, šernas
🐽	kiaulė, kiaulės nosis, nosis, veidas
🐏	avinas, avinas (gyvūnas), avis, zodiakas
🐑	avis
🐐	ožiaragis, ožys, zodiakas
🐪	kupra, kupranugaris, vienakupris kupranugaris
🐫	dvikupris kupranugaris, kupra, kupranugaris
🦙	alpaka, guanakas, lama, lamos vilna, vilna
🦒	dėmė, žirafa
🐘	dramblys
🦏	raganosis
🦛	begemotas
🐭	pelė, pelės snukutis, veidas
🐁	pelė
🐀	žiurkė
🐹	naminis gyvūnas, veidas, žiurkėnas, žiurkėno snukutis
🐰	naminis gyvūnas, triušio snukutis, triušis, veidas, zuikis
🐇	naminis gyvūnas, triušis, triušiukas
🐿️	voverė
🦔	ežys, spygliuotas
🦇	vampyras, šikšnosparnis
🐻	meška, meškos snukis, veidas
🐨	koala, meška
🐼	panda, pandos snukis, veidas
🦘	Australija, jauniklis, kengūra, sterblinis gyvūnas, šokinėti
🦡	barsukas, įkyruolis
🐾	letenos, pėdos, pėdsakai, pėdutės
🦃	kalakutas, paukštis
🐔	paukštis, višta
🐓	gaidys, paukštis
🐣	išsiridenti, išsiritęs viščiukas, mažas, paukštis, viščiukas
🐤	mažas, viščiukas
🐥	atsisukęs snapu viščiukas, mažas, paukštis, viščiukas
🐦️	paukštis
🐧	paukštis, pingvinas
🕊️	balandis, paukštis, skristi, taika
🦅	erelis, paukštis
🦆	antis, paukštis
🦢	bjaurusis ančiukas, gulbė, paukštis
🦉	išmintis, paukštis, pelėda
🦚	išdidus, mėgstantis pasirodyti, paukštis, povas, povė
🦜	kalbantis, papūga, paukštis, piratas
🐸	varlė, varlės snukutis, veidas
🐊	krokodilas
🐢	vėžlys
🦎	driežas, roplys
🐍	gyvatnešis, gyvatė, zodiakas, žaltys
🐲	drakonas, drakono snukis, pasaka, veidas
🐉	drakonas, pasaka
🦕	brachiozauras, brontozauas, diplodokas, sauropodas
🦖	Reksas, tiranozauras Reksas
🐳	banginis, purkšti, purškiantis banginis, veidas
🐋	banginis
🐬	delfinas, fliperis
🐟️	zodiakas, žuvis, žuvys
🐠	tropinė, tropinė žuvis, žuvis
🐡	fugu, žuvis
🦈	ryklys, žuvis
🐙	aštuonkojis
🐚	kriauklė, spiralė, susisukusi kriauklė
🐌	sraigė
🦋	drugelis, gražus, vabzdys
🐛	vabalas, vabzdys
🐜	skruzdėlė, vabzdys
🐝	bitė, vabzdys
🐞	boružė, vabalas, vabzdys
🦗	svirplys, žiogas
🕷️	vabzdys, voras
🕸️	tinklas, voras, voratinklis
🦂	skorpionas, skorpionas (gyvūnas), zodiakas
🦟	karštinė, maliarija, negalavimas, uodas, vabzdys, virusas
🦠	ameba, bakterija, mikrobas, virusas
