😀	Gesiicht, Grinsen, Grinsgesiicht
🕴🏿	Geschäft, Kostüm, Mann, däischter Hautfaarf, levitéierende Man am Kostüm, levitéierende Man am Kostüm: däischter Hautfaarf
👯	Dänzer, Huesoueren, Party, Persoun mat Huesoueren, feieren
👯‍♂	Dänzer, Huesoueren, Männer, Männer mat Huesoueren, Party, feieren
👯‍♀	Dänzerin, Frae mat Huesoueren, Fraen, Huesoueren, Party, feieren
🧖	Dampbad, Persoun am Dampbad, Sauna
🧖🏻	Dampbad, Persoun am Dampbad, Persoun am Dampbad: hell Hautfaarf, Sauna, hell Hautfaarf
🧖🏼	Dampbad, Persoun am Dampbad, Persoun am Dampbad: mëttelhell Hautfaarf, Sauna, mëttelhell Hautfaarf
🧖🏽	Dampbad, Persoun am Dampbad, Persoun am Dampbad: mëttel Hautfaarf, Sauna, mëttel Hautfaarf
🧖🏾	Dampbad, Persoun am Dampbad, Persoun am Dampbad: mëtteldäischter Hautfaarf, Sauna, mëtteldäischter Hautfaarf
🧖🏿	Dampbad, Persoun am Dampbad, Persoun am Dampbad: däischter Hautfaarf, Sauna, däischter Hautfaarf
🧖‍♂	Dampbad, Mann am Dampbad, Sauna
🧖🏻‍♂	Dampbad, Mann am Dampbad, Mann am Dampbad: hell Hautfaarf, Sauna, hell Hautfaarf
🧖🏼‍♂	Dampbad, Mann am Dampbad, Mann am Dampbad: mëttelhell Hautfaarf, Sauna, mëttelhell Hautfaarf
🧖🏽‍♂	Dampbad, Mann am Dampbad, Mann am Dampbad: mëttel Hautfaarf, Sauna, mëttel Hautfaarf
🧖🏾‍♂	Dampbad, Mann am Dampbad, Mann am Dampbad: mëtteldäischter Hautfaarf, Sauna, mëtteldäischter Hautfaarf
🧖🏿‍♂	Dampbad, Mann am Dampbad, Mann am Dampbad: däischter Hautfaarf, Sauna, däischter Hautfaarf
🧖‍♀	Dampbad, Fra am Dampbad, Sauna
🧖🏻‍♀	Dampbad, Fra am Dampbad, Fra am Dampbad: hell Hautfaarf, Sauna, hell Hautfaarf
🧖🏼‍♀	Dampbad, Fra am Dampbad, Fra am Dampbad: mëttelhell Hautfaarf, Sauna, mëttelhell Hautfaarf
🧖🏽‍♀	Dampbad, Fra am Dampbad, Fra am Dampbad: mëttel Hautfaarf, Sauna, mëttel Hautfaarf
🧖🏾‍♀	Dampbad, Fra am Dampbad, Fra am Dampbad: mëtteldäischter Hautfaarf, Sauna, mëtteldäischter Hautfaarf
🧖🏿‍♀	Dampbad, Fra am Dampbad, Fra am Dampbad: däischter Hautfaarf, Sauna, däischter Hautfaarf
🧗	Biergsteiger, Klëmmer(in)
🧗🏻	Biergsteiger, Klëmmer(in), Klëmmer(in): hell Hautfaarf, hell Hautfaarf
🧗🏼	Biergsteiger, Klëmmer(in), Klëmmer(in): mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧗🏽	Biergsteiger, Klëmmer(in), Klëmmer(in): mëttel Hautfaarf, mëttel Hautfaarf
🧗🏾	Biergsteiger, Klëmmer(in), Klëmmer(in): mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧗🏿	Biergsteiger, Klëmmer(in), Klëmmer(in): däischter Hautfaarf, däischter Hautfaarf
🧗‍♂	Biergsteiger, Klëmmer
🧗🏻‍♂	Biergsteiger, Klëmmer, Klëmmer: hell Hautfaarf, hell Hautfaarf
🧗🏼‍♂	Biergsteiger, Klëmmer, Klëmmer: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧗🏽‍♂	Biergsteiger, Klëmmer, Klëmmer: mëttel Hautfaarf, mëttel Hautfaarf
🧗🏾‍♂	Biergsteiger, Klëmmer, Klëmmer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧗🏿‍♂	Biergsteiger, Klëmmer, Klëmmer: däischter Hautfaarf, däischter Hautfaarf
🧗‍♀	Biergsteiger, Klëmmerin
🧗🏻‍♀	Biergsteiger, Klëmmerin, Klëmmerin: hell Hautfaarf, hell Hautfaarf
🧗🏼‍♀	Biergsteiger, Klëmmerin, Klëmmerin: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧗🏽‍♀	Biergsteiger, Klëmmerin, Klëmmerin: mëttel Hautfaarf, mëttel Hautfaarf
🧗🏾‍♀	Biergsteiger, Klëmmerin, Klëmmerin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧗🏿‍♀	Biergsteiger, Klëmmerin, Klëmmerin: däischter Hautfaarf, däischter Hautfaarf
🤺	Fechter, Schwäert, fechten, fechtend Persoun
🏇	Course, Coursepäerd, Jockey, Päerd, Päerdscourse
🏇🏻	Course, Coursepäerd, Jockey, Päerd, Päerdscourse, Päerdscourse: hell Hautfaarf, hell Hautfaarf
🏇🏼	Course, Coursepäerd, Jockey, Päerd, Päerdscourse, Päerdscourse: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏇🏽	Course, Coursepäerd, Jockey, Päerd, Päerdscourse, Päerdscourse: mëttel Hautfaarf, mëttel Hautfaarf
🏇🏾	Course, Coursepäerd, Jockey, Päerd, Päerdscourse, Päerdscourse: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏇🏿	Course, Coursepäerd, Jockey, Päerd, Päerdscourse, Päerdscourse: däischter Hautfaarf, däischter Hautfaarf
⛷️	Schnéi, Ski, Skifuerer
🏂️	Schnéi, Ski, Snowboard, Snowboarder
🏂🏻	Schnéi, Ski, Snowboard, Snowboarder, Snowboarder: hell Hautfaarf, hell Hautfaarf
🏂🏼	Schnéi, Ski, Snowboard, Snowboarder, Snowboarder: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏂🏽	Schnéi, Ski, Snowboard, Snowboarder, Snowboarder: mëttel Hautfaarf, mëttel Hautfaarf
🏂🏾	Schnéi, Ski, Snowboard, Snowboarder, Snowboarder: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏂🏿	Schnéi, Ski, Snowboard, Snowboarder, Snowboarder: däischter Hautfaarf, däischter Hautfaarf
🏌️	Ball, Golf, Golferspiller
🏌🏻	Ball, Golf, Golferspiller, Golferspiller: hell Hautfaarf, hell Hautfaarf
🏌🏼	Ball, Golf, Golferspiller, Golferspiller: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏌🏽	Ball, Golf, Golferspiller, Golferspiller: mëttel Hautfaarf, mëttel Hautfaarf
🏌🏾	Ball, Golf, Golferspiller, Golferspiller: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏌🏿	Ball, Golf, Golferspiller, Golferspiller: däischter Hautfaarf, däischter Hautfaarf
🏌‍♂	Golf, Golfer, Mann
🏌🏻‍♂	Golf, Golfer, Golfer: hell Hautfaarf, Mann, hell Hautfaarf
🏌🏼‍♂	Golf, Golfer, Golfer: mëttelhell Hautfaarf, Mann, mëttelhell Hautfaarf
🏌🏽‍♂	Golf, Golfer, Golfer: mëttel Hautfaarf, Mann, mëttel Hautfaarf
🏌🏾‍♂	Golf, Golfer, Golfer: mëtteldäischter Hautfaarf, Mann, mëtteldäischter Hautfaarf
🏌🏿‍♂	Golf, Golfer, Golfer: däischter Hautfaarf, Mann, däischter Hautfaarf
🏌‍♀	Fra, Golf, Golferin
🏌🏻‍♀	Fra, Golf, Golferin, Golferin: hell Hautfaarf, hell Hautfaarf
🏌🏼‍♀	Fra, Golf, Golferin, Golferin: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏌🏽‍♀	Fra, Golf, Golferin, Golferin: mëttel Hautfaarf, mëttel Hautfaarf
🏌🏾‍♀	Fra, Golf, Golferin, Golferin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏌🏿‍♀	Fra, Golf, Golferin, Golferin: däischter Hautfaarf, däischter Hautfaarf
🏄️	Surfen, Surfer(in)
🏄🏻	Surfen, Surfer(in), Surfer(in): hell Hautfaarf, hell Hautfaarf
🏄🏼	Surfen, Surfer(in), Surfer(in): mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏄🏽	Surfen, Surfer(in), Surfer(in): mëttel Hautfaarf, mëttel Hautfaarf
🏄🏾	Surfen, Surfer(in), Surfer(in): mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏄🏿	Surfen, Surfer(in), Surfer(in): däischter Hautfaarf, däischter Hautfaarf
🏄‍♂	Mann, Surfen, Surfer
🏄🏻‍♂	Mann, Surfen, Surfer, Surfer: hell Hautfaarf, hell Hautfaarf
🏄🏼‍♂	Mann, Surfen, Surfer, Surfer: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏄🏽‍♂	Mann, Surfen, Surfer, Surfer: mëttel Hautfaarf, mëttel Hautfaarf
🏄🏾‍♂	Mann, Surfen, Surfer, Surfer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏄🏿‍♂	Mann, Surfen, Surfer, Surfer: däischter Hautfaarf, däischter Hautfaarf
🏄‍♀	Fra, Surfen, Surferin
🏄🏻‍♀	Fra, Surfen, Surferin, Surferin: hell Hautfaarf, hell Hautfaarf
🏄🏼‍♀	Fra, Surfen, Surferin, Surferin: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏄🏽‍♀	Fra, Surfen, Surferin, Surferin: mëttel Hautfaarf, mëttel Hautfaarf
🏄🏾‍♀	Fra, Surfen, Surferin, Surferin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏄🏿‍♀	Fra, Surfen, Surferin, Surferin: däischter Hautfaarf, däischter Hautfaarf
🚣	Boot, Rudderboot, rudderend Persoun
🚣🏻	Boot, Rudderboot, hell Hautfaarf, rudderend Persoun, rudderend Persoun: hell Hautfaarf
🚣🏼	Boot, Rudderboot, mëttelhell Hautfaarf, rudderend Persoun, rudderend Persoun: mëttelhell Hautfaarf
🚣🏽	Boot, Rudderboot, mëttel Hautfaarf, rudderend Persoun, rudderend Persoun: mëttel Hautfaarf
🚣🏾	Boot, Rudderboot, mëtteldäischter Hautfaarf, rudderend Persoun, rudderend Persoun: mëtteldäischter Hautfaarf
🚣🏿	Boot, Rudderboot, däischter Hautfaarf, rudderend Persoun, rudderend Persoun: däischter Hautfaarf
🚣‍♂	Boot, Mann, Rudderboot, rudderende Mann
🚣🏻‍♂	Boot, Mann, Rudderboot, hell Hautfaarf, rudderende Mann, rudderende Mann: hell Hautfaarf
🚣🏼‍♂	Boot, Mann, Rudderboot, mëttelhell Hautfaarf, rudderende Mann, rudderende Mann: mëttelhell Hautfaarf
🚣🏽‍♂	Boot, Mann, Rudderboot, mëttel Hautfaarf, rudderende Mann, rudderende Mann: mëttel Hautfaarf
🚣🏾‍♂	Boot, Mann, Rudderboot, mëtteldäischter Hautfaarf, rudderende Mann, rudderende Mann: mëtteldäischter Hautfaarf
🚣🏿‍♂	Boot, Mann, Rudderboot, däischter Hautfaarf, rudderende Mann, rudderende Mann: däischter Hautfaarf
🚣‍♀	Boot, Fra, Rudderboot, rudderend Fra
🚣🏻‍♀	Boot, Fra, Rudderboot, hell Hautfaarf, rudderend Fra, rudderend Fra: hell Hautfaarf
🚣🏼‍♀	Boot, Fra, Rudderboot, mëttelhell Hautfaarf, rudderend Fra, rudderend Fra: mëttelhell Hautfaarf
🚣🏽‍♀	Boot, Fra, Rudderboot, mëttel Hautfaarf, rudderend Fra, rudderend Fra: mëttel Hautfaarf
🚣🏾‍♀	Boot, Fra, Rudderboot, mëtteldäischter Hautfaarf, rudderend Fra, rudderend Fra: mëtteldäischter Hautfaarf
🚣🏿‍♀	Boot, Fra, Rudderboot, däischter Hautfaarf, rudderend Fra, rudderend Fra: däischter Hautfaarf
🏊️	Schwëmmer(in), schwammen
🏊🏻	Schwëmmer(in), Schwëmmer(in): hell Hautfaarf, hell Hautfaarf, schwammen
🏊🏼	Schwëmmer(in), Schwëmmer(in): mëttelhell Hautfaarf, mëttelhell Hautfaarf, schwammen
🏊🏽	Schwëmmer(in), Schwëmmer(in): mëttel Hautfaarf, mëttel Hautfaarf, schwammen
🏊🏾	Schwëmmer(in), Schwëmmer(in): mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, schwammen
🏊🏿	Schwëmmer(in), Schwëmmer(in): däischter Hautfaarf, däischter Hautfaarf, schwammen
🏊‍♂	Mann, Schwëmmer, schwammen
🏊🏻‍♂	Mann, Schwëmmer, Schwëmmer: hell Hautfaarf, hell Hautfaarf, schwammen
🏊🏼‍♂	Mann, Schwëmmer, Schwëmmer: mëttelhell Hautfaarf, mëttelhell Hautfaarf, schwammen
🏊🏽‍♂	Mann, Schwëmmer, Schwëmmer: mëttel Hautfaarf, mëttel Hautfaarf, schwammen
🏊🏾‍♂	Mann, Schwëmmer, Schwëmmer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, schwammen
🏊🏿‍♂	Mann, Schwëmmer, Schwëmmer: däischter Hautfaarf, däischter Hautfaarf, schwammen
🏊‍♀	Fra, Schwëmmerin, schwammen
🏊🏻‍♀	Fra, Schwëmmerin, Schwëmmerin: hell Hautfaarf, hell Hautfaarf, schwammen
🏊🏼‍♀	Fra, Schwëmmerin, Schwëmmerin: mëttelhell Hautfaarf, mëttelhell Hautfaarf, schwammen
🏊🏽‍♀	Fra, Schwëmmerin, Schwëmmerin: mëttel Hautfaarf, mëttel Hautfaarf, schwammen
🏊🏾‍♀	Fra, Schwëmmerin, Schwëmmerin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, schwammen
🏊🏿‍♀	Fra, Schwëmmerin, Schwëmmerin: däischter Hautfaarf, däischter Hautfaarf, schwammen
⛹️	Ball, mam Ball dribbelend Persoun
⛹🏻	Ball, hell Hautfaarf, mam Ball dribbelend Persoun, mam Ball dribbelend Persoun: hell Hautfaarf
⛹🏼	Ball, mam Ball dribbelend Persoun, mam Ball dribbelend Persoun: mëttelhell Hautfaarf, mëttelhell Hautfaarf
⛹🏽	Ball, mam Ball dribbelend Persoun, mam Ball dribbelend Persoun: mëttel Hautfaarf, mëttel Hautfaarf
⛹🏾	Ball, mam Ball dribbelend Persoun, mam Ball dribbelend Persoun: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
⛹🏿	Ball, däischter Hautfaarf, mam Ball dribbelend Persoun, mam Ball dribbelend Persoun: däischter Hautfaarf
⛹‍♂	Ball, Mann, mam Ball dribbelende Mann
⛹🏻‍♂	Ball, Mann, hell Hautfaarf, mam Ball dribbelende Mann, mam Ball dribbelende Mann: hell Hautfaarf
⛹🏼‍♂	Ball, Mann, mam Ball dribbelende Mann, mam Ball dribbelende Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
⛹🏽‍♂	Ball, Mann, mam Ball dribbelende Mann, mam Ball dribbelende Mann: mëttel Hautfaarf, mëttel Hautfaarf
⛹🏾‍♂	Ball, Mann, mam Ball dribbelende Mann, mam Ball dribbelende Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
⛹🏿‍♂	Ball, Mann, däischter Hautfaarf, mam Ball dribbelende Mann, mam Ball dribbelende Mann: däischter Hautfaarf
⛹‍♀	Ball, Fra, mam Ball dribbelend Fra
⛹🏻‍♀	Ball, Fra, hell Hautfaarf, mam Ball dribbelend Fra, mam Ball dribbelend Fra: hell Hautfaarf
⛹🏼‍♀	Ball, Fra, mam Ball dribbelend Fra, mam Ball dribbelend Fra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
⛹🏽‍♀	Ball, Fra, mam Ball dribbelend Fra, mam Ball dribbelend Fra: mëttel Hautfaarf, mëttel Hautfaarf
⛹🏾‍♀	Ball, Fra, mam Ball dribbelend Fra, mam Ball dribbelend Fra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
⛹🏿‍♀	Ball, Fra, däischter Hautfaarf, mam Ball dribbelend Fra, mam Ball dribbelend Fra: däischter Hautfaarf
🏋️	Gewiicht, Gewiichthiewer(in), Hiewer
🏋🏻	Gewiicht, Gewiichthiewer(in), Gewiichthiewer(in): hell Hautfaarf, Hiewer, hell Hautfaarf
🏋🏼	Gewiicht, Gewiichthiewer(in), Gewiichthiewer(in): mëttelhell Hautfaarf, Hiewer, mëttelhell Hautfaarf
🏋🏽	Gewiicht, Gewiichthiewer(in), Gewiichthiewer(in): mëttel Hautfaarf, Hiewer, mëttel Hautfaarf
🏋🏾	Gewiicht, Gewiichthiewer(in), Gewiichthiewer(in): mëtteldäischter Hautfaarf, Hiewer, mëtteldäischter Hautfaarf
🏋🏿	Gewiicht, Gewiichthiewer(in), Gewiichthiewer(in): däischter Hautfaarf, Hiewer, däischter Hautfaarf
🏋‍♂	Gewiichthiewer, Mann
🏋🏻‍♂	Gewiichthiewer, Gewiichthiewer: hell Hautfaarf, Mann, hell Hautfaarf
🏋🏼‍♂	Gewiichthiewer, Gewiichthiewer: mëttelhell Hautfaarf, Mann, mëttelhell Hautfaarf
🏋🏽‍♂	Gewiichthiewer, Gewiichthiewer: mëttel Hautfaarf, Mann, mëttel Hautfaarf
🏋🏾‍♂	Gewiichthiewer, Gewiichthiewer: mëtteldäischter Hautfaarf, Mann, mëtteldäischter Hautfaarf
🏋🏿‍♂	Gewiichthiewer, Gewiichthiewer: däischter Hautfaarf, Mann, däischter Hautfaarf
🏋‍♀	Fra, Gewiichthiewer, Gewiichthiewerin
🏋🏻‍♀	Fra, Gewiichthiewer, Gewiichthiewerin, Gewiichthiewerin: hell Hautfaarf, hell Hautfaarf
🏋🏼‍♀	Fra, Gewiichthiewer, Gewiichthiewerin, Gewiichthiewerin: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏋🏽‍♀	Fra, Gewiichthiewer, Gewiichthiewerin, Gewiichthiewerin: mëttel Hautfaarf, mëttel Hautfaarf
🏋🏾‍♀	Fra, Gewiichthiewer, Gewiichthiewerin, Gewiichthiewerin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏋🏿‍♀	Fra, Gewiichthiewer, Gewiichthiewerin, Gewiichthiewerin: däischter Hautfaarf, däischter Hautfaarf
🚴	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in)
🚴🏻	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in), Vëlosfuerer(in): hell Hautfaarf, hell Hautfaarf
🚴🏼	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in), Vëlosfuerer(in): mëttelhell Hautfaarf, mëttelhell Hautfaarf
🚴🏽	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in), Vëlosfuerer(in): mëttel Hautfaarf, mëttel Hautfaarf
🚴🏾	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in), Vëlosfuerer(in): mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🚴🏿	Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer(in), Vëlosfuerer(in): däischter Hautfaarf, däischter Hautfaarf
🚴‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer
🚴🏻‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer: hell Hautfaarf, hell Hautfaarf
🚴🏼‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🚴🏽‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer: mëttel Hautfaarf, mëttel Hautfaarf
🚴🏾‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🚴🏿‍♂	Mann, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuerer: däischter Hautfaarf, däischter Hautfaarf
🚴‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin
🚴🏻‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin, Vëlosfuererin: hell Hautfaarf, hell Hautfaarf
🚴🏼‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin, Vëlosfuererin: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🚴🏽‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin, Vëlosfuererin: mëttel Hautfaarf, mëttel Hautfaarf
🚴🏾‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin, Vëlosfuererin: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🚴🏿‍♀	Fra, Vëlo, Vëlofueren, Vëlosfuerer, Vëlosfuererin, Vëlosfuererin: däischter Hautfaarf, däischter Hautfaarf
🚵	Bierg, Mountainbike, Mountainbikesfuerer(in), Vëlo, Vëlofueren, Vëlosfuerer
🚵🏻	Bierg, Mountainbike, Mountainbikesfuerer(in), Mountainbikesfuerer(in): hell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, hell Hautfaarf
🚵🏼	Bierg, Mountainbike, Mountainbikesfuerer(in), Mountainbikesfuerer(in): mëttelhell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttelhell Hautfaarf
🚵🏽	Bierg, Mountainbike, Mountainbikesfuerer(in), Mountainbikesfuerer(in): mëttel Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttel Hautfaarf
🚵🏾	Bierg, Mountainbike, Mountainbikesfuerer(in), Mountainbikesfuerer(in): mëtteldäischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëtteldäischter Hautfaarf
🚵🏿	Bierg, Mountainbike, Mountainbikesfuerer(in), Mountainbikesfuerer(in): däischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, däischter Hautfaarf
🚵‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Vëlo, Vëlofueren, Vëlosfuerer
🚵🏻‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Mountainbikesfuerer: hell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, hell Hautfaarf
🚵🏼‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Mountainbikesfuerer: mëttelhell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttelhell Hautfaarf
🚵🏽‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Mountainbikesfuerer: mëttel Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttel Hautfaarf
🚵🏾‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Mountainbikesfuerer: mëtteldäischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëtteldäischter Hautfaarf
🚵🏿‍♂	Bierg, Mann, Mountainbike, Mountainbikesfuerer, Mountainbikesfuerer: däischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, däischter Hautfaarf
🚵‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Vëlo, Vëlofueren, Vëlosfuerer
🚵🏻‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Mountainbikesfuererin: hell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, hell Hautfaarf
🚵🏼‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Mountainbikesfuererin: mëttelhell Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttelhell Hautfaarf
🚵🏽‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Mountainbikesfuererin: mëttel Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëttel Hautfaarf
🚵🏾‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Mountainbikesfuererin: mëtteldäischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, mëtteldäischter Hautfaarf
🚵🏿‍♀	Bierg, Fra, Mountainbike, Mountainbikesfuererin, Mountainbikesfuererin: däischter Hautfaarf, Vëlo, Vëlofueren, Vëlosfuerer, däischter Hautfaarf
🤸	Persoun, déi d’Rad schléit, Rad, Turnen
🤸🏻	Persoun, déi d’Rad schléit, Persoun, déi d’Rad schléit: hell Hautfaarf, Rad, Turnen, hell Hautfaarf
🤸🏼	Persoun, déi d’Rad schléit, Persoun, déi d’Rad schléit: mëttelhell Hautfaarf, Rad, Turnen, mëttelhell Hautfaarf
🤸🏽	Persoun, déi d’Rad schléit, Persoun, déi d’Rad schléit: mëttel Hautfaarf, Rad, Turnen, mëttel Hautfaarf
🤸🏾	Persoun, déi d’Rad schléit, Persoun, déi d’Rad schléit: mëtteldäischter Hautfaarf, Rad, Turnen, mëtteldäischter Hautfaarf
🤸🏿	Persoun, déi d’Rad schléit, Persoun, déi d’Rad schléit: däischter Hautfaarf, Rad, Turnen, däischter Hautfaarf
🤸‍♂	Mann, Mann, deen d’Rad schléit, Rad, Turnen
🤸🏻‍♂	Mann, Mann, deen d’Rad schléit, Mann, deen d’Rad schléit: hell Hautfaarf, Rad, Turnen, hell Hautfaarf
🤸🏼‍♂	Mann, Mann, deen d’Rad schléit, Mann, deen d’Rad schléit: mëttelhell Hautfaarf, Rad, Turnen, mëttelhell Hautfaarf
🤸🏽‍♂	Mann, Mann, deen d’Rad schléit, Mann, deen d’Rad schléit: mëttel Hautfaarf, Rad, Turnen, mëttel Hautfaarf
🤸🏾‍♂	Mann, Mann, deen d’Rad schléit, Mann, deen d’Rad schléit: mëtteldäischter Hautfaarf, Rad, Turnen, mëtteldäischter Hautfaarf
🤸🏿‍♂	Mann, Mann, deen d’Rad schléit, Mann, deen d’Rad schléit: däischter Hautfaarf, Rad, Turnen, däischter Hautfaarf
🤸‍♀	Fra, Fra, déi d’Rad schléit, Rad, Turnen
🤸🏻‍♀	Fra, Fra, déi d’Rad schléit, Fra, déi d’Rad schléit: hell Hautfaarf, Rad, Turnen, hell Hautfaarf
🤸🏼‍♀	Fra, Fra, déi d’Rad schléit, Fra, déi d’Rad schléit: mëttelhell Hautfaarf, Rad, Turnen, mëttelhell Hautfaarf
🤸🏽‍♀	Fra, Fra, déi d’Rad schléit, Fra, déi d’Rad schléit: mëttel Hautfaarf, Rad, Turnen, mëttel Hautfaarf
🤸🏾‍♀	Fra, Fra, déi d’Rad schléit, Fra, déi d’Rad schléit: mëtteldäischter Hautfaarf, Rad, Turnen, mëtteldäischter Hautfaarf
