🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
✍🏻	mână, mână scriind, mână scriind: ton deschis al pielii, scris, ton deschis al pielii
✍🏼	mână, mână scriind, mână scriind: ton semi‑deschis al pielii, scris, ton semi‑deschis al pielii
✍🏽	mână, mână scriind, mână scriind: ton mediu al pielii, scris, ton mediu al pielii
✍🏾	mână, mână scriind, mână scriind: ton semi‑închis al pielii, scris, ton semi‑închis al pielii
✍🏿	mână, mână scriind, mână scriind: ton închis al pielii, scris, ton închis al pielii
👏🏻	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton deschis al pielii, ton deschis al pielii
👏🏼	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👏🏽	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton mediu al pielii, ton mediu al pielii
👏🏾	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton semi‑închis al pielii, ton semi‑închis al pielii
👏🏿	aplauze, mâini, mâini care aplaudă, mâini care aplaudă: ton închis al pielii, ton închis al pielii
👐🏻	deschise, mână, palme, palme deschise: ton deschis al pielii, ton deschis al pielii
👐🏼	deschise, mână, palme, palme deschise: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👐🏽	deschise, mână, palme, palme deschise: ton mediu al pielii, ton mediu al pielii
👐🏾	deschise, mână, palme, palme deschise: ton semi‑închis al pielii, ton semi‑închis al pielii
👐🏿	deschise, mână, palme, palme deschise: ton închis al pielii, ton închis al pielii
🙌🏻	mâini, mâini ridicate, mâini ridicate: ton deschis al pielii, ridicat, sărbătoare, ton deschis al pielii, ura
🙌🏼	mâini, mâini ridicate, mâini ridicate: ton semi‑deschis al pielii, ridicat, sărbătoare, ton semi‑deschis al pielii, ura
🙌🏽	mâini, mâini ridicate, mâini ridicate: ton mediu al pielii, ridicat, sărbătoare, ton mediu al pielii, ura
🙌🏾	mâini, mâini ridicate, mâini ridicate: ton semi‑închis al pielii, ridicat, sărbătoare, ton semi‑închis al pielii, ura
🙌🏿	mâini, mâini ridicate, mâini ridicate: ton închis al pielii, ridicat, sărbătoare, ton închis al pielii, ura
🤲🏻	palme ridicate împreună, palme ridicate împreună: ton deschis al pielii, rugăciune, ton deschis al pielii
🤲🏼	palme ridicate împreună, palme ridicate împreună: ton semi‑deschis al pielii, rugăciune, ton semi‑deschis al pielii
🤲🏽	palme ridicate împreună, palme ridicate împreună: ton mediu al pielii, rugăciune, ton mediu al pielii
🤲🏾	palme ridicate împreună, palme ridicate împreună: ton semi‑închis al pielii, rugăciune, ton semi‑închis al pielii
🤲🏿	palme ridicate împreună, palme ridicate împreună: ton închis al pielii, rugăciune, ton închis al pielii
🙏🏻	mulțumiri, mâini, mâini unite, mâini unite: ton deschis al pielii, rugăciune, te rog, ton deschis al pielii
🙏🏼	mulțumiri, mâini, mâini unite, mâini unite: ton semi‑deschis al pielii, rugăciune, te rog, ton semi‑deschis al pielii
🙏🏽	mulțumiri, mâini, mâini unite, mâini unite: ton mediu al pielii, rugăciune, te rog, ton mediu al pielii
🙏🏾	mulțumiri, mâini, mâini unite, mâini unite: ton semi‑închis al pielii, rugăciune, te rog, ton semi‑închis al pielii
🙏🏿	mulțumiri, mâini, mâini unite, mâini unite: ton închis al pielii, rugăciune, te rog, ton închis al pielii
💅🏻	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton deschis al pielii, ton deschis al pielii, unghie
💅🏼	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton semi‑deschis al pielii, ton semi‑deschis al pielii, unghie
💅🏽	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton mediu al pielii, ton mediu al pielii, unghie
💅🏾	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton semi‑închis al pielii, ton semi‑închis al pielii, unghie
💅🏿	lac de unghii, manichiură, ojă, ojă pe unghii, ojă pe unghii: ton închis al pielii, ton închis al pielii, unghie
👂🏻	corp, ton deschis al pielii, ureche, ureche: ton deschis al pielii
👂🏼	corp, ton semi‑deschis al pielii, ureche, ureche: ton semi‑deschis al pielii
👂🏽	corp, ton mediu al pielii, ureche, ureche: ton mediu al pielii
👂🏾	corp, ton semi‑închis al pielii, ureche, ureche: ton semi‑închis al pielii
👂🏿	corp, ton închis al pielii, ureche, ureche: ton închis al pielii
👃🏻	corp, nas, nas: ton deschis al pielii, ton deschis al pielii
👃🏼	corp, nas, nas: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👃🏽	corp, nas, nas: ton mediu al pielii, ton mediu al pielii
👃🏾	corp, nas, nas: ton semi‑închis al pielii, ton semi‑închis al pielii
👃🏿	corp, nas, nas: ton închis al pielii, ton închis al pielii
#⃣	tastă, tastă: #
*⃣	tastă, tastă: *
🔟	tastă, tastă: 10
🇦🇨	steag, steag: Insula Ascension
🇦🇩	steag, steag: Andorra
🇦🇪	steag, steag: Emiratele Arabe Unite
🇦🇫	steag, steag: Afganistan
🇦🇬	steag, steag: Antigua și Barbuda
🇦🇮	steag, steag: Anguilla
🇦🇱	steag, steag: Albania
🇦🇲	steag, steag: Armenia
🇦🇴	steag, steag: Angola
🇦🇶	steag, steag: Antarctica
🇦🇷	steag, steag: Argentina
🇦🇸	steag, steag: Samoa Americană
🇦🇹	steag, steag: Austria
🇦🇺	steag, steag: Australia
🇦🇼	steag, steag: Aruba
🇦🇽	steag, steag: Insulele Åland
🇦🇿	steag, steag: Azerbaidjan
🇧🇦	steag, steag: Bosnia și Herțegovina
🇧🇧	steag, steag: Barbados
🇧🇩	steag, steag: Bangladesh
🇧🇪	steag, steag: Belgia
🇧🇫	steag, steag: Burkina Faso
🇧🇬	steag, steag: Bulgaria
🇧🇭	steag, steag: Bahrain
🇧🇮	steag, steag: Burundi
🇧🇯	steag, steag: Benin
🇧🇱	steag, steag: Saint-Barthélemy
🇧🇲	steag, steag: Bermuda
🇧🇳	steag, steag: Brunei
🇧🇴	steag, steag: Bolivia
🇧🇶	steag, steag: Insulele Caraibe Olandeze
🇧🇷	steag, steag: Brazilia
🇧🇸	steag, steag: Bahamas
🇧🇹	steag, steag: Bhutan
🇧🇻	steag, steag: Insula Bouvet
🇧🇼	steag, steag: Botswana
🇧🇾	steag, steag: Belarus
🇧🇿	steag, steag: Belize
🇨🇦	steag, steag: Canada
🇨🇨	steag, steag: Insulele Cocos (Keeling)
🇨🇩	steag, steag: Congo - Kinshasa
🇨🇫	steag, steag: Republica Centrafricană
🇨🇬	steag, steag: Congo - Brazzaville
🇨🇭	steag, steag: Elveția
🇨🇮	steag, steag: Côte d’Ivoire
🇨🇰	steag, steag: Insulele Cook
🇨🇱	steag, steag: Chile
🇨🇲	steag, steag: Camerun
🇨🇳	steag, steag: China
🇨🇴	steag, steag: Columbia
🇨🇵	steag, steag: Insula Clipperton
🇨🇷	steag, steag: Costa Rica
🇨🇺	steag, steag: Cuba
🇨🇻	steag, steag: Capul Verde
🇨🇼	steag, steag: Curaçao
🇨🇽	steag, steag: Insula Christmas
🇨🇾	steag, steag: Cipru
🇨🇿	steag, steag: Cehia
🇩🇪	steag, steag: Germania
🇩🇬	steag, steag: Diego Garcia
🇩🇯	steag, steag: Djibouti
🇩🇰	steag, steag: Danemarca
🇩🇲	steag, steag: Dominica
🇩🇴	steag, steag: Republica Dominicană
🇩🇿	steag, steag: Algeria
🇪🇦	steag, steag: Ceuta și Melilla
🇪🇨	steag, steag: Ecuador
🇪🇪	steag, steag: Estonia
🇪🇬	steag, steag: Egipt
🇪🇭	steag, steag: Sahara Occidentală
🇪🇷	steag, steag: Eritreea
🇪🇸	steag, steag: Spania
🇪🇹	steag, steag: Etiopia
🇪🇺	steag, steag: Uniunea Europeană
🇫🇮	steag, steag: Finlanda
🇫🇯	steag, steag: Fiji
🇫🇰	steag, steag: Insulele Falkland
🇫🇲	steag, steag: Micronezia
🇫🇴	steag, steag: Insulele Feroe
🇫🇷	steag, steag: Franța
🇬🇦	steag, steag: Gabon
🇬🇧	steag, steag: Regatul Unit
🇬🇩	steag, steag: Grenada
🇬🇪	steag, steag: Georgia
🇬🇫	steag, steag: Guyana Franceză
🇬🇬	steag, steag: Guernsey
🇬🇭	steag, steag: Ghana
🇬🇮	steag, steag: Gibraltar
🇬🇱	steag, steag: Groenlanda
🇬🇲	steag, steag: Gambia
🇬🇳	steag, steag: Guineea
🇬🇵	steag, steag: Guadelupa
🇬🇶	steag, steag: Guineea Ecuatorială
🇬🇷	steag, steag: Grecia
🇬🇸	steag, steag: Georgia de Sud și Insulele Sandwich de Sud
🇬🇹	steag, steag: Guatemala
🇬🇺	steag, steag: Guam
🇬🇼	steag, steag: Guineea-Bissau
🇬🇾	steag, steag: Guyana
🇭🇰	steag, steag: R.A.S. Hong Kong a Chinei
🇭🇲	steag, steag: Insula Heard și Insulele McDonald
🇭🇳	steag, steag: Honduras
🇭🇷	steag, steag: Croația
🇭🇹	steag, steag: Haiti
🇭🇺	steag, steag: Ungaria
🇮🇨	steag, steag: Insulele Canare
🇮🇩	steag, steag: Indonezia
🇮🇪	steag, steag: Irlanda
🇮🇱	steag, steag: Israel
🇮🇲	steag, steag: Insula Man
🇮🇳	steag, steag: India
🇮🇴	steag, steag: Teritoriul Britanic din Oceanul Indian
🇮🇶	steag, steag: Irak
🇮🇷	steag, steag: Iran
🇮🇸	steag, steag: Islanda
🇮🇹	steag, steag: Italia
🇯🇪	steag, steag: Jersey
🇯🇲	steag, steag: Jamaica
🇯🇴	steag, steag: Iordania
🇯🇵	steag, steag: Japonia
🇰🇪	steag, steag: Kenya
🇰🇬	steag, steag: Kârgâzstan
🇰🇭	steag, steag: Cambodgia
🇰🇮	steag, steag: Kiribati
🇰🇲	steag, steag: Comore
🇰🇳	steag, steag: Saint Kitts și Nevis
🇰🇵	steag, steag: Coreea de Nord
🇰🇷	steag, steag: Coreea de Sud
🇰🇼	steag, steag: Kuweit
🇰🇾	steag, steag: Insulele Cayman
🇰🇿	steag, steag: Kazahstan
🇱🇦	steag, steag: Laos
🇱🇧	steag, steag: Liban
🇱🇨	steag, steag: Sfânta Lucia
🇱🇮	steag, steag: Liechtenstein
🇱🇰	steag, steag: Sri Lanka
🇱🇷	steag, steag: Liberia
🇱🇸	steag, steag: Lesotho
🇱🇹	steag, steag: Lituania
🇱🇺	steag, steag: Luxemburg
🇱🇻	steag, steag: Letonia
🇱🇾	steag, steag: Libia
🇲🇦	steag, steag: Maroc
🇲🇨	steag, steag: Monaco
🇲🇩	steag, steag: Republica Moldova
🇲🇪	steag, steag: Muntenegru
🇲🇫	steag, steag: Sfântul Martin
🇲🇬	steag, steag: Madagascar
🇲🇭	steag, steag: Insulele Marshall
🇲🇰	steag, steag: Republica Macedonia
🇲🇱	steag, steag: Mali
🇲🇲	steag, steag: Myanmar (Birmania)
🇲🇳	steag, steag: Mongolia
🇲🇴	steag, steag: R.A.S. Macao a Chinei
🇲🇵	steag, steag: Insulele Mariane de Nord
🇲🇶	steag, steag: Martinica
🇲🇷	steag, steag: Mauritania
🇲🇸	steag, steag: Montserrat
🇲🇹	steag, steag: Malta
🇲🇺	steag, steag: Mauritius
🇲🇻	steag, steag: Maldive
🇲🇼	steag, steag: Malawi
🇲🇽	steag, steag: Mexic
🇲🇾	steag, steag: Malaysia
🇲🇿	steag, steag: Mozambic
🇳🇦	steag, steag: Namibia
🇳🇨	steag, steag: Noua Caledonie
🇳🇪	steag, steag: Niger
🇳🇫	steag, steag: Insula Norfolk
🇳🇬	steag, steag: Nigeria
🇳🇮	steag, steag: Nicaragua
🇳🇱	steag, steag: Țările de Jos
🇳🇴	steag, steag: Norvegia
🇳🇵	steag, steag: Nepal
🇳🇷	steag, steag: Nauru
🇳🇺	steag, steag: Niue
🇳🇿	steag, steag: Noua Zeelandă
🇴🇲	steag, steag: Oman
🇵🇦	steag, steag: Panama
🇵🇪	steag, steag: Peru
🇵🇫	steag, steag: Polinezia Franceză
🇵🇬	steag, steag: Papua-Noua Guinee
🇵🇭	steag, steag: Filipine
🇵🇰	steag, steag: Pakistan
🇵🇱	steag, steag: Polonia
🇵🇲	steag, steag: Saint-Pierre și Miquelon
🇵🇳	steag, steag: Insulele Pitcairn
🇵🇷	steag, steag: Puerto Rico
🇵🇸	steag, steag: Teritoriile Palestiniene
🇵🇹	steag, steag: Portugalia
🇵🇼	steag, steag: Palau
🇵🇾	steag, steag: Paraguay
🇶🇦	steag, steag: Qatar
🇷🇪	steag, steag: Réunion
🇷🇴	steag, steag: România
🇷🇸	steag, steag: Serbia
🇷🇺	steag, steag: Rusia
🇷🇼	steag, steag: Rwanda
🇸🇦	steag, steag: Arabia Saudită
🇸🇧	steag, steag: Insulele Solomon
🇸🇨	steag, steag: Seychelles
🇸🇩	steag, steag: Sudan
🇸🇪	steag, steag: Suedia
🇸🇬	steag, steag: Singapore
🇸🇭	steag, steag: Sfânta Elena
🇸🇮	steag, steag: Slovenia
🇸🇯	steag, steag: Svalbard și Jan Mayen
🇸🇰	steag, steag: Slovacia
🇸🇱	steag, steag: Sierra Leone
🇸🇲	steag, steag: San Marino
🇸🇳	steag, steag: Senegal
🇸🇴	steag, steag: Somalia
🇸🇷	steag, steag: Suriname
🇸🇸	steag, steag: Sudanul de Sud
🇸🇹	steag, steag: Sao Tome și Principe
🇸🇻	steag, steag: El Salvador
🇸🇽	steag, steag: Sint-Maarten
🇸🇾	steag, steag: Siria
🇸🇿	steag, steag: Swaziland
🇹🇦	steag, steag: Tristan da Cunha
🇹🇨	steag, steag: Insulele Turks și Caicos
🇹🇩	steag, steag: Ciad
🇹🇫	steag, steag: Teritoriile Australe și Antarctice Franceze
🇹🇬	steag, steag: Togo
🇹🇭	steag, steag: Thailanda
🇹🇯	steag, steag: Tadjikistan
🇹🇰	steag, steag: Tokelau
🇹🇱	steag, steag: Timorul de Est
🇹🇲	steag, steag: Turkmenistan
🇹🇳	steag, steag: Tunisia
🇹🇴	steag, steag: Tonga
🇹🇷	steag, steag: Turcia
🇹🇹	steag, steag: Trinidad și Tobago
🇹🇻	steag, steag: Tuvalu
🇹🇼	steag, steag: Taiwan
🇹🇿	steag, steag: Tanzania
🇺🇦	steag, steag: Ucraina
🇺🇬	steag, steag: Uganda
🇺🇲	steag, steag: Insulele Îndepărtate ale S.U.A.
🇺🇳	steag, steag: Națiunile Unite
🇺🇸	steag, steag: Statele Unite ale Americii
🇺🇾	steag, steag: Uruguay
🇺🇿	steag, steag: Uzbekistan
🇻🇦	steag, steag: Statul Cetății Vaticanului
🇻🇨	steag, steag: Saint Vincent și Grenadinele
🇻🇪	steag, steag: Venezuela
🇻🇬	steag, steag: Insulele Virgine Britanice
🇻🇮	steag, steag: Insulele Virgine Americane
🇻🇳	steag, steag: Vietnam
🇻🇺	steag, steag: Vanuatu
🇼🇫	steag, steag: Wallis și Futuna
🇼🇸	steag, steag: Samoa
🇽🇰	steag, steag: Kosovo
🇾🇪	steag, steag: Yemen
🇾🇹	steag, steag: Mayotte
🇿🇦	steag, steag: Africa de Sud
🇿🇲	steag, steag: Zambia
🇿🇼	steag, steag: Zimbabwe
🏴󠁧󠁢󠁥󠁮󠁧󠁿	steag, steag: Anglia
🏴󠁧󠁢󠁳󠁣󠁴󠁿	steag, steag: Scoția
🏴󠁧󠁢󠁷󠁬󠁳󠁿	steag, steag: Țara Galilor
0⃣	tastă, tastă: 0
1⃣	tastă, tastă: 1
2⃣	tastă, tastă: 2
3⃣	tastă, tastă: 3
4⃣	tastă, tastă: 4
5⃣	tastă, tastă: 5
6⃣	tastă, tastă: 6
7⃣	tastă, tastă: 7
8⃣	tastă, tastă: 8
9⃣	tastă, tastă: 9
🏻	nuanță, piele, tipul 1–2, ton deschis al pielii
🏼	nuanță, piele, tipul 3, ton semi‑deschis al pielii
🏽	nuanță, piele, tipul 4, ton mediu al pielii
🏾	nuanță, piele, tipul 5, ton semi‑închis al pielii
🏿	nuanță, piele, tipul 6, ton închis al pielii
😀	față, față încântată, încântare
😁	față, față radioasă cu ochi zâmbitori, ochi, zâmbet, încântare
😂	bucurie, față, față cu lacrimi de bucurie, lacrimi, râset
🤣	față, jos, râs, tăvăli, tăvălindu-se pe jos de râs
